Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
axonal transport(GO:0098930)	16990, 1938, 53, 14	2.316	0.0126524995752	0.132988768818	53
positive regulation of mesenchymal cell proliferation(GO:0002053)	16990, 303, 26, 2	4.313	0.227730341009	0.581966686086	26
positive regulation of neuroblast proliferation(GO:0002052)	16990, 1933, 23, 7	2.675	0.049256615022	0.29324913722	23
dendrite morphogenesis(GO:0048813)	16990, 1577, 40, 6	1.616	0.412307630521	0.728730437404	40
proteoglycan metabolic process(GO:0006029)	16990, 688, 58, 11	4.683	0.000184937991379	0.00723603048283	58
regulation of dendrite morphogenesis(GO:0048814)	16990, 49, 87, 1	3.985	0.580334911723	0.834450095227	87
positive regulation of stress fiber assembly(GO:0051496)	16990, 1991, 51, 11	1.841	0.140263644665	0.472126053769	51
regulation of lipase activity(GO:0060191)	16990, 446, 94, 7	2.837	0.0767378971316	0.364825302339	94
glutathione catabolic process(GO:0006751)	16990, 0, 11, 0	0.0	1.0	1.0	11
inositol metabolic process(GO:0006020)	16990, 625, 12, 2	4.531	0.161304455686	0.502509347052	12
aminoglycan catabolic process(GO:0006026)	16990, 250, 66, 3	3.089	0.275602616821	0.623541197982	66
negative regulation of double-strand break repair via homologous recombination(GO:2000042)	16990, 65, 18, 1	14.521	0.18000994968	0.527741807034	18
regulation of cell cycle arrest(GO:0071156)	16990, 1666, 106, 16	1.539	0.245494379709	0.596773833867	106
positive regulation of actin nucleation(GO:0051127)	16990, 1605, 16, 1	0.662	0.808471525255	0.950209217689	16
signal release from synapse(GO:0099643)	16990, 1905, 69, 8	1.034	0.826755247556	0.961715294013	69
axo-dendritic protein transport(GO:0099640)	16990, 1471, 13, 3	2.665	0.20849470903	0.559416310841	13
regulation of cyclin-dependent protein kinase activity(GO:1904029)	16990, 174, 100, 4	3.906	0.114836039051	0.433894845447	100
RNA polymerase II preinitiation complex assembly(GO:0051123)	16990, 1100, 13, 1	1.188	0.650585772503	0.870407609225	13
regulation of DNA damage checkpoint(GO:2000001)	16990, 1652, 17, 4	2.42	0.192264827902	0.54233984339	17
neurotransmitter receptor localization to postsynaptic specialization membrane(GO:0099645)	16990, 747, 12, 1	1.895	0.551649773232	0.817699663866	12
negative regulation of fibroblast proliferation(GO:0048147)	16990, 1212, 29, 4	1.934	0.359067279122	0.693063247422	29
dicarboxylic acid metabolic process(GO:0043648)	16990, 157, 104, 2	2.081	0.631908275166	0.86185684169	104
regulation of fibroblast proliferation(GO:0048145)	16990, 1258, 83, 12	1.953	0.104942666278	0.419474772798	83
astrocyte activation(GO:0048143)	16990, 15, 12, 1	94.389	0.0371050751876	0.252798033502	12
regulation of muscle organ development(GO:0048634)	16990, 299, 133, 7	2.991	0.0680712758253	0.341777491357	133
positive regulation of ATP biosynthetic process(GO:2001171)	16990, 1953, 29, 4	1.2	0.676075736476	0.883261828567	29
regulation of synapse maturation(GO:0090128)	16990, 1816, 13, 3	2.159	0.296063489965	0.640961688334	13
inner ear receptor cell development(GO:0060119)	16990, 1491, 12, 2	1.899	0.419441221301	0.732733016582	12
negative regulation of ERAD pathway(GO:1904293)	16990, 0, 13, 0	0.0	1.0	1.0	13
glial cell differentiation(GO:0010001)	16990, 1953, 71, 19	2.328	0.00272971864332	0.0467257888768	71
macromolecule deacylation(GO:0098732)	16990, 1399, 73, 9	1.497	0.43925293165	0.74727684229	73
response to purine-containing compound(GO:0014074)	16990, 248, 150, 6	2.74	0.141413156727	0.473547071685	150
intracellular transport of virus(GO:0075733)	16990, 0, 14, 0	0.0	1.0	1.0	14
regulation of retinoic acid receptor signaling pathway(GO:0048385)	16990, 800, 16, 4	5.309	0.0242027206828	0.198322123483	16
retinoic acid receptor signaling pathway(GO:0048384)	16990, 299, 16, 4	14.206	0.000789704576485	0.0193799949637	16
response to organic cyclic compound(GO:0014070)	16990, 1733, 736, 99	1.319	0.0312085827867	0.230283900304	736
regulation of cell fate commitment(GO:0010453)	16990, 32, 27, 1	19.664	0.163248335652	0.505014383861	27
phospholipid catabolic process(GO:0009395)	16990, 307, 33, 3	5.031	0.0909321894957	0.396086275061	33
positive regulation of heat generation(GO:0031652)	16990, 0, 11, 0	0.0	1.0	1.0	11
negative regulation of neuron death(GO:1901215)	16990, 1319, 196, 30	1.972	0.00319469584064	0.0511491891847	196
positive regulation of interferon-gamma biosynthetic process(GO:0045078)	16990, 0, 12, 0	0.0	1.0	1.0	12
nuclear-transcribed mRNA poly(A) tail shortening(GO:0000289)	16990, 1895, 22, 3	1.223	0.65365948961	0.872379139173	22
regulation of macroautophagy(GO:0016241)	16990, 1718, 162, 21	1.282	0.498371616044	0.789401054	162
endodermal cell differentiation(GO:0035987)	16990, 572, 28, 3	3.182	0.204349707127	0.556896368998	28
regulation of interleukin-2 biosynthetic process(GO:0045076)	16990, 523, 19, 1	1.71	0.627253939193	0.85908070829	19
glycosphingolipid biosynthetic process(GO:0006688)	16990, 436, 24, 1	1.624	0.670420071776	0.881454860193	24
nuclear division(GO:0000280)	16990, 449, 57, 3	1.992	0.490269371995	0.784823629367	57
negative regulation of viral genome replication(GO:0045071)	16990, 255, 53, 2	2.514	0.480594678212	0.775768652119	53
regulation of interferon-gamma biosynthetic process(GO:0045072)	16990, 1642, 16, 1	0.647	0.813796007859	0.953791130068	16
regulation of chemokine biosynthetic process(GO:0045073)	16990, 1568, 13, 3	2.5	0.231595050164	0.584618920303	13
regulation of cellular amine metabolic process(GO:0033238)	16990, 458, 37, 3	3.008	0.24590485361	0.597073369946	37
amino acid import across plasma membrane(GO:0089718)	16990, 1918, 14, 2	1.265	0.615137397927	0.85453631174	14
microtubule cytoskeleton organization involved in mitosis(GO:1902850)	16990, 1488, 92, 10	1.241	0.662779783338	0.876586671011	92
regulation of chromosome separation(GO:1905818)	16990, 1982, 62, 9	1.244	0.634834600181	0.862342396744	62
negative regulation of chromosome separation(GO:1905819)	16990, 1822, 28, 5	1.665	0.395224161814	0.723374512301	28
positive regulation of cell population proliferation(GO:0008284)	16990, 15, 905, 4	5.006	0.074736311921	0.35948166034	905
muscle cell development(GO:0055001)	16990, 1981, 92, 16	1.492	0.276113480504	0.624109887794	92
ceramide transport(GO:0035627)	16990, 411, 12, 2	6.89	0.0926662805149	0.400970199203	12
cardiac myofibril assembly(GO:0055003)	16990, 1201, 22, 4	2.572	0.187674929638	0.537331197358	22
cardiac cell development(GO:0055006)	16990, 1201, 41, 5	1.725	0.41172482618	0.728730437404	41
cardiac muscle cell differentiation(GO:0055007)	16990, 94, 26, 1	6.952	0.326253382008	0.666603855238	26
cardiac muscle tissue morphogenesis(GO:0055008)	16990, 1991, 65, 10	1.313	0.556343114774	0.819605017477	65
barbed-end actin filament capping(GO:0051016)	16990, 447, 15, 2	5.068	0.15184642846	0.490188805969	15
cellular response to DNA damage stimulus(GO:0006974)	16990, 1846, 732, 96	1.207	0.215728361231	0.56643095269	732
regulation of hormone secretion(GO:0046883)	16990, 15, 265, 1	4.274	0.657789036749	0.874288436391	265
response to osmotic stress(GO:0006970)	16990, 1453, 73, 15	2.403	0.00868775737424	0.102926386626	73
regulation of hormone biosynthetic process(GO:0046885)	16990, 1723, 26, 4	1.517	0.501115478007	0.790024729339	26
hyperosmotic response(GO:0006972)	16990, 1220, 24, 7	4.062	0.00588131057802	0.0787997322571	24
positive regulation of hormone secretion(GO:0046887)	16990, 15, 129, 1	8.78	0.410164600339	0.728730437404	129
negative regulation of hormone secretion(GO:0046888)	16990, 1642, 65, 8	1.273	0.631968623834	0.86185684169	65
positive regulation of lipid biosynthetic process(GO:0046889)	16990, 145, 76, 3	4.625	0.139856686426	0.471490347582	76
neuroblast proliferation(GO:0007405)	16990, 231, 17, 2	8.653	0.0745670465617	0.359026520482	17
nucleoside diphosphate metabolic process(GO:0009132)	16990, 1754, 78, 13	1.614	0.235662923041	0.588960122309	78
response to oxidative stress(GO:0006979)	16990, 18, 343, 3	8.256	0.0508024882373	0.298133603587	343
temperature homeostasis(GO:0001659)	16990, 1953, 30, 6	1.74	0.322098963616	0.664322069749	30
cellular response to lipoprotein particle stimulus(GO:0071402)	16990, 335, 25, 3	6.086	0.0538987673421	0.30428764192	25
protein mono-ADP-ribosylation(GO:0140289)	16990, 0, 11, 0	0.0	1.0	1.0	11
cell adhesion mediated by integrin(GO:0033627)	16990, 1823, 22, 6	2.542	0.0900983834061	0.396086275061	22
pyrimidine-containing compound salvage(GO:0008655)	16990, 1109, 12, 3	3.83	0.107656351138	0.423407235466	12
primary amino compound metabolic process(GO:1901160)	16990, 886, 13, 1	1.475	0.614148619009	0.854266876066	13
negative regulation of lipid transport(GO:0032369)	16990, 1959, 26, 3	1.001	0.774479803266	0.933335337824	26
activation of GTPase activity(GO:0090630)	16990, 1728, 94, 16	1.674	0.144178958778	0.477946789608	94
histone H4-K8 acetylation(GO:0043982)	16990, 1287, 16, 3	2.475	0.261903348384	0.611828608901	16
postsynaptic specialization organization(GO:0099084)	16990, 1938, 13, 3	2.023	0.330105632123	0.669088080483	13
positive regulation of protein sumoylation(GO:0033235)	16990, 1298, 11, 1	1.19	0.618006969507	0.855920968422	11
regulation of dendritic spine maintenance(GO:1902950)	16990, 18, 11, 1	85.808	0.0379171527587	0.255794536844	11
integrin-mediated signaling pathway(GO:0007229)	16990, 1971, 89, 17	1.647	0.136892347704	0.467650704869	89
receptor-mediated endocytosis(GO:0006898)	16990, 22, 212, 1	3.643	0.68353633848	0.885963295093	212
regulation of corticosteroid hormone secretion(GO:2000846)	16990, 455, 16, 1	2.334	0.52344029995	0.803109359732	16
myelin assembly(GO:0032288)	16990, 512, 12, 2	5.531	0.126868058211	0.455739626585	12
attachment of spindle microtubules to kinetochore(GO:0008608)	16990, 0, 20, 0	0.0	1.0	1.0	20
regulation of cell-cell adhesion(GO:0022407)	16990, 32, 385, 4	5.516	0.0552619583583	0.308364291999	385
molting cycle process(GO:0022404)	16990, 381, 72, 12	7.432	8.83263880806e-07	0.000202309488889	72
positive regulation of NIK/NF-kappaB signaling(GO:1901224)	16990, 15, 74, 1	15.306	0.256603848788	0.605305654244	74
negative regulation of NIK/NF-kappaB signaling(GO:1901223)	16990, 912, 21, 2	1.774	0.520613781366	0.80089180126	21
regulation of NIK/NF-kappaB signaling(GO:1901222)	16990, 15, 105, 1	10.787	0.347673186538	0.682017955648	105
regulation of rhodopsin mediated signaling pathway(GO:0022400)	16990, 495, 24, 4	5.721	0.0238892151246	0.196758775255	24
regulation of dopamine secretion(GO:0014059)	16990, 446, 40, 1	0.952	0.854914540853	0.975365024075	40
myoblast differentiation(GO:0045445)	16990, 1152, 21, 4	2.809	0.151219072798	0.489626798114	21
fat cell differentiation(GO:0045444)	16990, 30, 105, 2	10.787	0.0928932097449	0.401157566243	105
endothelial cell differentiation(GO:0045446)	16990, 1129, 27, 5	2.787	0.114124526785	0.433166026172	27
asymmetric cell division(GO:0008356)	16990, 1873, 13, 2	1.396	0.563693503279	0.823151972245	13
regulation of cell division(GO:0051302)	16990, 2, 164, 1	51.799	0.129781613518	0.460353177931	164
negative regulation of cell-cell adhesion(GO:0022408)	16990, 134, 166, 6	4.583	0.0191188298732	0.172535781783	166
neuron projection extension(GO:1990138)	16990, 1938, 59, 12	1.783	0.147935540484	0.484390707781	59
negative regulation of small molecule metabolic process(GO:0062014)	16990, 30, 94, 1	6.025	0.476746563175	0.771773496033	94
response to estradiol(GO:0032355)	16990, 15, 127, 1	8.919	0.406231095139	0.727536484411	127
response to follicle-stimulating hormone(GO:0032354)	16990, 1733, 16, 6	3.676	0.0156319238208	0.152772734803	16
positive regulation of hormone metabolic process(GO:0032352)	16990, 1718, 15, 2	1.319	0.597387956639	0.84363948075	15
DNA replication-independent nucleosome organization(GO:0034724)	16990, 73, 41, 1	5.677	0.413799560711	0.729609929259	41
