region	chr	start	end	ESCC_1	ESCC_2	ESCC_3	ESCC_4	ESCC_5	ESCC_6	ESCC_7	ESCC_8	ESCC_9	ESCC_10	ESCC_11	ESCC_12	ESCC_13	ESCC_14	ESCC_15	ESCC_16	ESCC_17	ESCC_19	ESCC_20	ESCC_21	ESCC_22	ESCC_Nonmalignant_1	ESCC_Nonmalignant_2	ESCC_Nonmalignant_3	ESCC_Nonmalignant_53F	ESCC_Nonmalignant_54M	EAC_1	EAC_2	EAC_3	EAC_4	EAC_6	GEJ_1	GEJ_2	GEJ_3	GEJ_4	GEJ_5	GEJ_6	GEJ_7	GEJ_Nonmalignant_1	GEJ_Nonmalignant_2	GEJ_Nonmalignant_3	GEJ_Nonmalignant_4	GEJ_Nonmalignant_5	GEJ_Nonmalignant_6	GEJ_Nonmalignant_7
chr12_52640000_52650000	chr12	52640000	52650000	0.8436	0.7747	0.7409	0.7824	0.7601	0.7348	0.689	0.7799	0.8184	0.8498	0.8489	0.7835	0.8112	0.7572	0.8836	0.7354	0.8031	0.9023	0.7677	0.7218	0.6387	0.8311	0.8142	0.7791	0.827	0.8192	0.3607	0.8223	0.6862	0.7806	0.7282	0.7494	0.6825	0.7531	0.7678	0.7215	0.7877	0.7312	0.8064	0.8294	0.7438	0.7603	0.6965	0.673	0.7967
chr12_52650000_52660000	chr12	52650000	52660000	0.7163	0.7064	0.6272	0.7211	0.677	0.5643	0.6357	0.6905	0.7364	0.6265	0.7672	0.6778	0.7343	0.7259	0.7616	0.6807	0.7203	0.7961	0.6781	0.647	0.5723	0.6425	0.6392	0.6219	0.6777	0.6274	0.213	0.6928	0.6283	0.7869	0.6084	0.6979	0.5678	0.693	0.7056	0.5146	0.7294	0.6693	0.703	0.7433	0.706	0.6367	0.6476	0.6646	0.7287
chr12_52660000_52670000	chr12	52660000	52670000	0.7601	0.702	0.6593	0.6845	0.6707	0.7031	0.6666	0.7251	0.7412	0.7755	0.8019	0.6808	0.7546	0.6832	0.7157	0.6425	0.7449	0.8305	0.7001	0.7101	0.5167	0.7823	0.7372	0.7362	0.7404	0.7688	0.1935	0.6479	0.613	0.761	0.5849	0.6878	0.4902	0.6864	0.6525	0.4743	0.5648	0.6677	0.7116	0.7296	0.7325	0.7093	0.6947	0.6411	0.7512
chr12_52670000_52680000	chr12	52670000	52680000	0.8745	0.7726	0.7015	0.8095	0.7428	0.7245	0.6912	0.7994	0.8113	0.8474	0.8286	0.7781	0.8028	0.8204	0.7821	0.6882	0.7528	0.8669	0.7152	0.7342	0.6911	0.8575	0.8293	0.8109	0.7835	0.8001	0.2503	0.756	0.6434	0.7695	0.6734	0.7237	0.547	0.7178	0.6978	0.5587	0.6308	0.7598	0.7525	0.7237	0.7945	0.7559	0.7097	0.6768	0.7835
chr12_52680000_52690000	chr12	52680000	52690000	0.7506	0.7069	0.6664	0.7227	0.6774	0.668	0.6441	0.7329	0.6953	0.8074	0.8239	0.7151	0.7466	0.7745	0.6941	0.7115	0.7488	0.7134	0.7539	0.6999	0.5843	0.7395	0.772	0.726	0.738	0.7579	0.258	0.6615	0.6303	0.7709	0.6594	0.6714	0.497	0.6879	0.6685	0.5801	0.6619	0.6583	0.7071	0.7567	0.7226	0.7189	0.7014	0.6157	0.721
chr12_52690000_52700000	chr12	52690000	52700000	0.729	0.6674	0.6187	0.7064	0.6452	0.6386	0.6009	0.7015	0.7297	0.7173	0.764	0.668	0.7141	0.7123	0.7859	0.6411	0.6725	0.8096	0.6135	0.6899	0.5879	0.703	0.724	0.6999	0.6869	0.6903	0.2908	0.756	0.6044	0.6444	0.6017	0.6104	0.5042	0.6364	0.5822	0.5013	0.5139	0.6047	0.641	0.6899	0.7609	0.7162	0.6749	0.5935	0.8064
chr12_52700000_52710000	chr12	52700000	52710000	0.7891	0.7328	0.655	0.7357	0.7333	0.6856	0.6089	0.7544	0.7805	0.8283	0.8078	0.7298	0.7646	0.7226	0.8485	0.7046	0.7622	0.9196	0.7527	0.7513	0.6059	0.8013	0.7579	0.764	0.7649	0.7726	0.2364	0.7346	0.636	0.7886	0.6287	0.6689	0.5091	0.6589	0.6716	0.574	0.6401	0.676	0.736	0.7504	0.7268	0.7244	0.6832	0.6121	0.7478
chr12_52710000_52720000	chr12	52710000	52720000	0.8201	0.6705	0.7175	0.7164	0.6834	0.6669	0.6167	0.8075	0.781	0.7676	0.7614	0.6936	0.7124	0.6919	0.7883	0.7376	0.7435	0.8849	0.7486	0.7483	0.6557	0.7646	0.7296	0.7371	0.7634	0.7618	0.3466	0.7993	0.6015	0.7947	0.6209	0.7105	0.5591	0.7147	0.6709	0.574	0.6602	0.6913	0.786	0.7508	0.7988	0.77	0.7338	0.7136	0.7466
chr12_52720000_52730000	chr12	52720000	52730000	0.8337	0.7403	0.6282	0.6726	0.6606	0.6775	0.5132	0.7182	0.7401	0.7944	0.7969	0.534	0.6599	0.7357	0.7926	0.6287	0.7088	0.7805	0.5532	0.7155	0.6007	0.8119	0.7887	0.7269	0.7412	0.7977	0.1974	0.7623	0.5716	0.698	0.6608	0.7197	0.5192	0.7032	0.5822	0.4441	0.5583	0.6902	0.7392	0.7406	0.7265	0.7061	0.7448	0.6866	0.7457
chr12_52730000_52740000	chr12	52730000	52740000	0.7703	0.6892	0.5666	0.604	0.5582	0.6587	0.3678	0.7121	0.6014	0.7727	0.6586	0.3564	0.5746	0.7237	0.6175	0.4903	0.6096	0.4871	0.6203	0.6481	0.5561	0.7536	0.7708	0.7269	0.7479	0.7475	0.2152	0.6213	0.5836	0.6972	0.6451	0.732	0.5173	0.6839	0.5327	0.4038	0.5424	0.7066	0.7614	0.7306	0.7798	0.7631	0.699	0.6931	0.7672
chr12_52740000_52750000	chr12	52740000	52750000	0.7239	0.6274	0.5388	0.553	0.4703	0.594	0.3121	0.6422	0.5414	0.6957	0.6747	0.3048	0.4981	0.5818	0.5848	0.4711	0.6231	0.5163	0.438	0.5349	0.525	0.6743	0.6851	0.6552	0.6301	0.6529	0.1872	0.6105	0.516	0.5919	0.5471	0.6904	0.4726	0.5782	0.4602	0.3739	0.412	0.586	0.6059	0.7171	0.6682	0.531	0.5556	0.5368	0.6308
chr12_52750000_52760000	chr12	52750000	52760000	0.7648	0.6894	0.5652	0.6174	0.5049	0.6226	0.322	0.6705	0.6423	0.7244	0.7472	0.4019	0.5478	0.6643	0.6684	0.4891	0.5577	0.6399	0.4622	0.5858	0.4052	0.7244	0.7202	0.7117	0.7177	0.7005	0.216	0.6661	0.4382	0.625	0.5727	0.5848	0.4207	0.6285	0.5112	0.3807	0.5026	0.6085	0.6511	0.7202	0.6572	0.6023	0.5556	0.5543	0.6291
chr12_52760000_52770000	chr12	52760000	52770000	0.8028	0.772	0.6932	0.7233	0.5958	0.7225	0.4901	0.7361	0.7635	0.8651	0.7728	0.5614	0.653	0.7576	0.8038	0.5598	0.7448	0.7776	0.6228	0.7557	0.662	0.8435	0.8431	0.7766	0.7897	0.7479	0.3095	0.7745	0.5899	0.8023	0.6185	0.6561	0.5414	0.6658	0.5582	0.4849	0.5537	0.6638	0.736	0.7598	0.7626	0.6703	0.7485	0.6705	0.7696
chr12_52770000_52780000	chr12	52770000	52780000	0.8844	0.776	0.6714	0.7778	0.6341	0.6827	0.5691	0.8152	0.777	0.8555	0.8265	0.7111	0.7003	0.7817	0.8456	0.6304	0.758	0.8634	0.713	0.828	0.6146	0.8397	0.7978	0.775	0.7634	0.8073	0.2485	0.7993	0.5635	0.813	0.6309	0.7341	0.4797	0.7094	0.6416	0.5259	0.6451	0.6927	0.7593	0.7324	0.7888	0.6913	0.6818	0.69	0.7637
chr12_52780000_52790000	chr12	52780000	52790000	0.8238	0.7388	0.6692	0.7434	0.6788	0.6884	0.6104	0.7267	0.7574	0.8068	0.7982	0.7179	0.7328	0.7532	0.844	0.6662	0.7839	0.8181	0.8022	0.7457	0.5329	0.8037	0.736	0.7321	0.7859	0.7565	0.355	0.7992	0.6174	0.7717	0.6913	0.7549	0.6178	0.774	0.6922	0.5626	0.6177	0.7581	0.8099	0.7008	0.761	0.7552	0.7164	0.7323	0.792
chr12_52790000_52800000	chr12	52790000	52800000	0.8583	0.7588	0.7577	0.7989	0.7231	0.7152	0.5903	0.7505	0.7844	0.8571	0.8172	0.827	0.7397	0.8283	0.8253	0.7831	0.7244	0.8584	0.7013	0.798	0.6762	0.839	0.7416	0.7925	0.8268	0.7912	0.4494	0.7705	0.6981	0.8165	0.6744	0.7302	0.6166	0.7193	0.7366	0.6966	0.6905	0.7612	0.7966	0.913	0.7796	0.7364	0.7537	0.7529	0.7754
chr12_52800000_52810000	chr12	52800000	52810000	0.7441	0.7116	0.644	0.6971	0.703	0.6453	0.5741	0.7175	0.7121	0.7094	0.801	0.6936	0.7303	0.7445	0.7829	0.6704	0.724	0.6738	0.6817	0.6698	0.5314	0.6369	0.6898	0.7269	0.7008	0.7048	0.324	0.7735	0.5851	0.7674	0.6351	0.6951	0.5756	0.7094	0.6972	0.6199	0.6687	0.6897	0.6943	0.7617	0.6445	0.6333	0.6498	0.5881	0.7145
chr12_52810000_52820000	chr12	52810000	52820000	0.7887	0.7131	0.7032	0.7237	0.6827	0.688	0.6295	0.7317	0.7888	0.777	0.7975	0.7824	0.7264	0.7592	0.8061	0.7482	0.809	0.8496	0.7907	0.7054	0.6166	0.6908	0.6844	0.7286	0.7704	0.7754	0.2878	0.789	0.6214	0.7557	0.6417	0.7057	0.5298	0.6923	0.6983	0.6296	0.7057	0.7336	0.8394	0.7907	0.7971	0.8094	0.7289	0.7726	0.8091
chr12_52820000_52830000	chr12	52820000	52830000	0.8364	0.7379	0.7097	0.7779	0.716	0.7399	0.6349	0.7973	0.8122	0.824	0.85	0.8083	0.7441	0.7933	0.8588	0.7416	0.8215	0.8223	0.6593	0.8201	0.5424	0.8338	0.8098	0.7787	0.7555	0.8428	0.3264	0.8292	0.6941	0.8464	0.6828	0.7348	0.6358	0.7471	0.7098	0.6948	0.7072	0.749	0.7787	0.8336	0.793	0.8223	0.7582	0.7337	0.7598
chr12_52830000_52840000	chr12	52830000	52840000	0.7925	0.7424	0.6918	0.7689	0.7215	0.6691	0.6699	0.7522	0.7825	0.8005	0.7713	0.7457	0.724	0.7377	0.7677	0.7216	0.8208	0.8634	0.7615	0.5973	0.6046	0.7887	0.7465	0.7671	0.7688	0.7807	0.3036	0.6847	0.5948	0.777	0.6456	0.7032	0.5687	0.7191	0.6571	0.6037	0.6117	0.6437	0.6784	0.6739	0.6779	0.586	0.6328	0.472	0.7094
chr12_52840000_52850000	chr12	52840000	52850000	0.8393	0.7859	0.7414	0.8154	0.7871	0.7474	0.7122	0.7667	0.7833	0.8472	0.841	0.8205	0.7774	0.8343	0.8144	0.7647	0.8555	0.9083	0.8023	0.7559	0.6533	0.7903	0.7338	0.7826	0.7787	0.785	0.3809	0.7911	0.7563	0.8454	0.6836	0.7368	0.587	0.7321	0.7142	0.5668	0.692	0.7119	0.849	0.8702	0.8329	0.7751	0.747	0.7363	0.819
chr12_52850000_52860000	chr12	52850000	52860000	0.8362	0.7692	0.7175	0.7953	0.7405	0.7038	0.7021	0.7544	0.7972	0.8307	0.8319	0.8211	0.8024	0.8217	0.8168	0.7725	0.8238	0.8988	0.7197	0.7433	0.538	0.7723	0.6831	0.7598	0.7841	0.7431	0.384	0.836	0.6557	0.8266	0.6628	0.7784	0.6645	0.7547	0.7208	0.6732	0.7501	0.713	0.8339	0.8019	0.8	0.7975	0.7746	0.7133	0.8239
