region	chr	start	end	ESCC_1	ESCC_2	ESCC_3	ESCC_4	ESCC_5	ESCC_6	ESCC_7	ESCC_8	ESCC_9	ESCC_10	ESCC_11	ESCC_12	ESCC_13	ESCC_14	ESCC_15	ESCC_16	ESCC_17	ESCC_19	ESCC_20	ESCC_21	ESCC_22	ESCC_Nonmalignant_1	ESCC_Nonmalignant_2	ESCC_Nonmalignant_3	ESCC_Nonmalignant_53F	ESCC_Nonmalignant_54M	EAC_1	EAC_2	EAC_3	EAC_4	EAC_6	GEJ_1	GEJ_2	GEJ_3	GEJ_4	GEJ_5	GEJ_6	GEJ_7	GEJ_Nonmalignant_1	GEJ_Nonmalignant_2	GEJ_Nonmalignant_3	GEJ_Nonmalignant_4	GEJ_Nonmalignant_5	GEJ_Nonmalignant_6	GEJ_Nonmalignant_7
chr3_170880000_170890000	chr3	170880000	170890000	0.7331	0.7872	0.7978	0.7249	0.7836	0.768	0.7548	0.831	0.7915	0.822	0.7817	0.7032	0.7644	0.8291	0.7775	0.8267	0.9078	0.8395	0.7716	0.78	0.8601	0.7428	0.8095	0.8163	0.8966	0.8929	0.7378	0.8064	0.8216	0.8931	0.8143	0.887	0.7563	0.9077	0.7993	0.7418	0.7574	0.8166	0.9089	0.9154	0.8923	0.9009	0.8708	0.8519	0.8939
chr3_170890000_170900000	chr3	170890000	170900000	0.898	0.8744	0.8397	0.8539	0.8682	0.8789	0.8504	0.894	0.9021	0.9031	0.9128	0.8787	0.8903	0.8965	0.9272	0.8729	0.9232	0.9221	0.8418	0.8421	0.9157	0.9431	0.9087	0.8922	0.9191	0.918	0.9031	0.9186	0.8694	0.9313	0.8441	0.8967	0.9163	0.8704	0.8768	0.8777	0.8715	0.9152	0.8984	0.8969	0.8591	0.9044	0.8841	0.9008	0.9052
chr3_170900000_170910000	chr3	170900000	170910000	0.8346	0.7499	0.7565	0.698	0.7873	0.7647	0.7112	0.7227	0.7946	0.8351	0.8277	0.7807	0.8359	0.8436	0.8026	0.7834	0.8065	0.8275	0.729	0.7324	0.8115	0.8166	0.8766	0.7986	0.8387	0.8198	0.7278	0.798	0.7605	0.7663	0.7802	0.8217	0.7835	0.7875	0.7444	0.806	0.7466	0.8018	0.8679	0.8213	0.8648	0.8366	0.8661	0.8263	0.8355
chr3_170910000_170920000	chr3	170910000	170920000	0.8814	0.8261	0.5819	0.7842	0.821	0.8032	0.7585	0.8284	0.7897	0.8724	0.8608	0.7064	0.683	0.7172	0.7412	0.7378	0.8725	0.6815	0.5614	0.6898	0.6773	0.8693	0.8649	0.8279	0.82	0.811	0.8424	0.8278	0.6826	0.9091	0.7757	0.8492	0.8079	0.8274	0.868	0.7002	0.8658	0.8234	0.8599	0.8586	0.8736	0.8471	0.8012	0.8442	0.8292
chr3_170920000_170930000	chr3	170920000	170930000	0.8845	0.7238	0.443	0.6778	0.7075	0.6456	0.6746	0.737	0.6108	0.8505	0.7861	0.4772	0.4569	0.6384	0.5334	0.5303	0.7769	0.3549	0.4257	0.5471	0.49	0.8242	0.8164	0.7689	0.7796	0.8118	0.7693	0.7566	0.5971	0.8777	0.7269	0.7678	0.6509	0.8015	0.8381	0.5705	0.8089	0.7627	0.7861	0.7725	0.7924	0.7991	0.7538	0.735	0.8158
chr3_170930000_170940000	chr3	170930000	170940000	0.8637	0.7737	0.4798	0.7062	0.768	0.7249	0.7275	0.7843	0.6225	0.8711	0.8062	0.5334	0.5192	0.7218	0.6207	0.5284	0.8223	0.4203	0.4524	0.6228	0.6153	0.8318	0.8501	0.834	0.837	0.8396	0.7334	0.7357	0.5646	0.8779	0.73	0.8204	0.7111	0.8166	0.8375	0.5884	0.7918	0.7451	0.852	0.7952	0.8055	0.8101	0.7591	0.7915	0.8417
chr3_170940000_170950000	chr3	170940000	170950000	0.8826	0.83	0.6314	0.7603	0.8307	0.7865	0.8219	0.8123	0.6905	0.8686	0.8869	0.6747	0.6877	0.7907	0.7612	0.6415	0.9093	0.6117	0.4601	0.6179	0.6673	0.9044	0.8674	0.827	0.8686	0.8587	0.8312	0.8101	0.6779	0.9107	0.8043	0.8556	0.7242	0.8446	0.8516	0.6828	0.8455	0.7775	0.8787	0.8896	0.8663	0.8305	0.8439	0.838	0.8643
chr3_170950000_170960000	chr3	170950000	170960000	0.8829	0.7871	0.5178	0.6332	0.7766	0.7101	0.6729	0.7303	0.6982	0.841	0.8348	0.6328	0.6521	0.676	0.7485	0.5724	0.8452	0.6212	0.463	0.5886	0.5339	0.7993	0.8019	0.8032	0.7927	0.7713	0.7723	0.8184	0.6758	0.8757	0.7486	0.8108	0.7429	0.8017	0.8177	0.6873	0.8138	0.8063	0.8511	0.8891	0.7971	0.8061	0.7566	0.7932	0.8317
chr3_170960000_170970000	chr3	170960000	170970000	0.8222	0.7913	0.5864	0.6968	0.7766	0.7714	0.7373	0.7856	0.6711	0.7922	0.8182	0.6375	0.6708	0.7545	0.8043	0.6483	0.8318	0.718	0.5428	0.5294	0.6436	0.8184	0.8123	0.7673	0.8163	0.8371	0.7603	0.7605	0.7243	0.8213	0.7278	0.781	0.8045	0.7505	0.8022	0.6941	0.8019	0.8253	0.7995	0.7364	0.75	0.7613	0.7526	0.7678	0.7476
chr3_170970000_170980000	chr3	170970000	170980000	0.8791	0.8007	0.5036	0.6686	0.764	0.7595	0.7337	0.7908	0.6542	0.8076	0.8491	0.5879	0.5882	0.7583	0.7149	0.5842	0.816	0.5905	0.3846	0.6493	0.6127	0.855	0.8473	0.851	0.8035	0.8056	0.7173	0.668	0.7956	0.7881	0.7427	0.8307	0.7807	0.7992	0.7986	0.6798	0.7936	0.8222	0.8767	0.8054	0.8382	0.8698	0.8065	0.8625	0.8587
chr3_170980000_170990000	chr3	170980000	170990000	0.9033	0.8065	0.5194	0.6724	0.7879	0.7238	0.7759	0.7804	0.6416	0.7461	0.8369	0.6732	0.6151	0.6255	0.9108	0.5256	0.8907	0.5777	0.2955	0.589	0.531	0.8225	0.8496	0.807	0.8342	0.7959	0.802	0.7748	0.7774	0.8604	0.7274	0.827	0.8265	0.7913	0.8157	0.7272	0.8182	0.8141	0.8472	0.8233	0.754	0.7941	0.7306	0.8	0.8062
chr3_170990000_171000000	chr3	170990000	171000000	0.8459	0.7589	0.5359	0.6227	0.701	0.7021	0.6703	0.7308	0.6683	0.8566	0.8217	0.6209	0.642	0.599	0.8093	0.6188	0.826	0.6272	0.3974	0.5912	0.5621	0.7747	0.8194	0.7754	0.7853	0.7643	0.7026	0.7531	0.633	0.736	0.6853	0.7851	0.7553	0.789	0.7493	0.6543	0.7327	0.6899	0.8186	0.7836	0.7365	0.8047	0.735	0.7567	0.7895
chr3_171000000_171010000	chr3	171000000	171010000	0.8572	0.7635	0.5136	0.6555	0.7598	0.6741	0.7546	0.7656	0.6576	0.8355	0.8092	0.7268	0.6914	0.6675	0.823	0.596	0.8311	0.719	0.4107	0.5615	0.5955	0.8231	0.8262	0.7754	0.7582	0.7805	0.7226	0.7196	0.697	0.8065	0.7499	0.7569	0.7464	0.7666	0.7769	0.7087	0.7819	0.7792	0.7871	0.7781	0.7393	0.7861	0.7255	0.7355	0.7745
chr3_171010000_171020000	chr3	171010000	171020000	0.8621	0.7953	0.5052	0.6261	0.7978	0.7274	0.7435	0.7855	0.6839	0.8651	0.8134	0.6169	0.5818	0.6689	0.789	0.5346	0.8638	0.632	0.383	0.5789	0.5454	0.849	0.8195	0.7861	0.8015	0.787	0.7976	0.8068	0.7664	0.8278	0.7584	0.8438	0.7743	0.7953	0.7719	0.7104	0.8117	0.8007	0.819	0.8244	0.8129	0.7897	0.7645	0.7791	0.7861
chr3_171020000_171030000	chr3	171020000	171030000	0.7062	0.692	0.4454	0.5967	0.6853	0.6666	0.6798	0.6801	0.6014	0.8301	0.7523	0.5945	0.5842	0.5821	0.7009	0.5246	0.7666	0.6551	0.3687	0.4909	0.441	0.7152	0.6737	0.6673	0.7369	0.7204	0.6934	0.7156	0.6577	0.7635	0.7273	0.7763	0.7107	0.7416	0.7213	0.6392	0.8131	0.7595	0.7869	0.7838	0.7401	0.7521	0.7158	0.7888	0.7889
chr3_171030000_171040000	chr3	171030000	171040000	0.8999	0.8458	0.5689	0.6944	0.8263	0.7865	0.8081	0.8446	0.719	0.9097	0.8869	0.7051	0.6896	0.7423	0.8827	0.6312	0.8949	0.7114	0.5057	0.6541	0.6765	0.8784	0.8566	0.8612	0.8661	0.8333	0.7928	0.8468	0.7798	0.8965	0.8129	0.8907	0.8353	0.8532	0.8358	0.7967	0.8823	0.8547	0.8843	0.8971	0.8581	0.8383	0.8305	0.8345	0.8396
chr3_171040000_171050000	chr3	171040000	171050000	0.7908	0.7766	0.5345	0.6777	0.8015	0.7511	0.7656	0.7754	0.707	0.8744	0.8539	0.7254	0.6973	0.6941	0.8411	0.5799	0.8484	0.7759	0.4058	0.6119	0.5913	0.8764	0.8462	0.8096	0.8207	0.7932	0.8019	0.8167	0.7561	0.8274	0.7861	0.8504	0.811	0.8288	0.8008	0.7573	0.7909	0.7905	0.8679	0.8372	0.8361	0.8477	0.8279	0.8356	0.8508
chr3_171050000_171060000	chr3	171050000	171060000	0.7729	0.711	0.5061	0.5782	0.7376	0.6986	0.6647	0.6972	0.6061	0.8039	0.7693	0.6135	0.5492	0.6051	0.74	0.4685	0.7843	0.5609	0.294	0.5025	0.4981	0.7865	0.7797	0.7217	0.7335	0.7188	0.7142	0.6501	0.606	0.6978	0.6824	0.7196	0.7342	0.7203	0.7156	0.662	0.7266	0.7329	0.7899	0.7477	0.6893	0.7363	0.6848	0.6939	0.7378
chr3_171060000_171070000	chr3	171060000	171070000	0.8661	0.8565	0.599	0.7313	0.8589	0.85	0.8073	0.8368	0.7564	0.8977	0.8615	0.8312	0.7432	0.7577	0.8785	0.5742	0.892	0.6994	0.4482	0.6563	0.6172	0.9162	0.9042	0.8455	0.8635	0.8863	0.9175	0.9105	0.8804	0.9311	0.8612	0.9076	0.9135	0.8978	0.8612	0.8612	0.8478	0.8857	0.9133	0.9053	0.8845	0.9056	0.9145	0.8883	0.8983
chr3_171070000_171080000	chr3	171070000	171080000	0.9014	0.8632	0.5034	0.6522	0.8517	0.8179	0.8146	0.8437	0.7739	0.8734	0.8806	0.8432	0.7384	0.7682	0.8958	0.5903	0.9032	0.6558	0.4005	0.6102	0.546	0.9149	0.9134	0.8617	0.8846	0.8736	0.9037	0.9145	0.8373	0.9004	0.8556	0.8813	0.9221	0.8443	0.8588	0.8459	0.8609	0.8899	0.896	0.9031	0.8121	0.8575	0.876	0.8576	0.852
chr3_171080000_171090000	chr3	171080000	171090000	0.7655	0.8332	0.56	0.7273	0.8389	0.8031	0.7737	0.7992	0.7744	0.8863	0.8507	0.8302	0.7588	0.749	0.8961	0.6043	0.878	0.727	0.3904	0.5965	0.5867	0.8294	0.8582	0.8292	0.816	0.8282	0.9268	0.9114	0.8605	0.9127	0.8311	0.9022	0.8982	0.9232	0.8533	0.8786	0.8588	0.882	0.8994	0.9304	0.8959	0.8974	0.9239	0.9137	0.8946
chr3_171090000_171100000	chr3	171090000	171100000	0.9156	0.8681	0.5598	0.7218	0.8741	0.8571	0.8348	0.8786	0.7929	0.8977	0.8876	0.8496	0.7397	0.7839	0.9251	0.6466	0.8727	0.6504	0.3881	0.6133	0.6542	0.9204	0.9332	0.8837	0.9101	0.9054	0.9373	0.9457	0.9037	0.913	0.8603	0.9219	0.9162	0.9092	0.8554	0.8951	0.8306	0.8906	0.9345	0.9452	0.8978	0.9306	0.8965	0.8887	0.9266
chr3_171100000_171110000	chr3	171100000	171110000	0.8982	0.8659	0.5046	0.6922	0.8523	0.8179	0.8088	0.8605	0.7629	0.8781	0.8896	0.8328	0.7859	0.8432	0.8537	0.6147	0.8876	0.7282	0.5081	0.6404	0.6847	0.9185	0.8905	0.8294	0.8864	0.8511	0.9223	0.9382	0.8588	0.9409	0.8607	0.902	0.9154	0.9131	0.8998	0.8663	0.8739	0.9047	0.9343	0.9323	0.9192	0.9293	0.9211	0.9032	0.9185
chr3_171110000_171120000	chr3	171110000	171120000	0.9057	0.8761	0.5634	0.7337	0.8805	0.841	0.8202	0.8655	0.7971	0.9379	0.9033	0.8473	0.8325	0.7661	0.9129	0.6624	0.9131	0.7227	0.4626	0.6675	0.6715	0.933	0.91	0.8608	0.9199	0.91	0.9422	0.9521	0.9193	0.9406	0.8659	0.9079	0.9221	0.9039	0.881	0.9123	0.8853	0.8991	0.9439	0.9707	0.9178	0.9426	0.9307	0.9075	0.9178
chr3_171120000_171130000	chr3	171120000	171130000	0.9187	0.8821	0.5819	0.7276	0.8591	0.8603	0.8561	0.8693	0.8306	0.915	0.8876	0.8598	0.8018	0.836	0.9269	0.6544	0.9173	0.7104	0.4341	0.6562	0.7179	0.9363	0.9231	0.8855	0.9169	0.8889	0.9377	0.9323	0.9056	0.9336	0.8937	0.8932	0.9354	0.9116	0.8755	0.9049	0.8894	0.9247	0.9174	0.9211	0.8946	0.9101	0.881	0.8744	0.8726
chr3_171130000_171140000	chr3	171130000	171140000	0.8899	0.8452	0.6238	0.6899	0.8379	0.7801	0.7927	0.8208	0.7467	0.8694	0.8195	0.8333	0.7787	0.7586	0.8221	0.6095	0.8704	0.7436	0.51	0.691	0.6578	0.8795	0.9296	0.8435	0.8779	0.84	0.8648	0.8761	0.8558	0.8947	0.8294	0.8555	0.904	0.8888	0.8401	0.8521	0.8172	0.8941	0.902	0.8883	0.8582	0.8706	0.8601	0.8596	0.8481
chr3_171140000_171150000	chr3	171140000	171150000	0.8984	0.8635	0.545	0.707	0.8423	0.8475	0.8105	0.8412	0.8135	0.8699	0.8908	0.8447	0.75	0.792	0.9047	0.5752	0.8753	0.7159	0.4344	0.6353	0.6602	0.9268	0.9452	0.8776	0.8944	0.8948	0.9256	0.9441	0.8962	0.9287	0.865	0.9058	0.93	0.8924	0.8678	0.9322	0.8755	0.9123	0.8854	0.9125	0.8858	0.8906	0.8978	0.8824	0.8883
chr3_171150000_171160000	chr3	171150000	171160000	0.8888	0.8183	0.5354	0.6622	0.8422	0.7957	0.7651	0.811	0.7879	0.8568	0.8613	0.8425	0.7561	0.7503	0.9005	0.5815	0.8605	0.78	0.4915	0.5964	0.6141	0.8716	0.8647	0.822	0.8548	0.8576	0.8757	0.8925	0.8027	0.9172	0.8246	0.847	0.9019	0.8893	0.8185	0.7701	0.8657	0.884	0.8705	0.8991	0.8454	0.8737	0.8683	0.8955	0.8686
chr3_171160000_171170000	chr3	171160000	171170000	0.8648	0.8561	0.6302	0.7173	0.8588	0.8324	0.8202	0.8362	0.79	0.8939	0.9044	0.8701	0.8088	0.8365	0.8641	0.6886	0.8832	0.7717	0.548	0.7361	0.6773	0.9089	0.9068	0.8487	0.8711	0.9163	0.8647	0.875	0.7865	0.8596	0.8576	0.8767	0.8221	0.8558	0.8498	0.7838	0.8276	0.8812	0.8891	0.9135	0.8648	0.8595	0.8615	0.8578	0.8644
chr3_171170000_171180000	chr3	171170000	171180000	0.8945	0.8595	0.609	0.7265	0.8272	0.8373	0.7875	0.8737	0.7934	0.911	0.8975	0.8283	0.8383	0.7797	0.9316	0.6557	0.871	0.8382	0.5935	0.6853	0.6619	0.9021	0.9056	0.8582	0.8732	0.8583	0.8673	0.874	0.7604	0.8438	0.8395	0.8428	0.887	0.8361	0.8104	0.804	0.7677	0.8648	0.8445	0.8481	0.8682	0.8467	0.8814	0.8684	0.8587
chr3_171180000_171190000	chr3	171180000	171190000	0.7995	0.7388	0.5119	0.5266	0.7439	0.7503	0.6944	0.7368	0.7232	0.849	0.7738	0.7364	0.7222	0.6857	0.7646	0.5071	0.7432	0.7072	0.4416	0.5824	0.5462	0.8193	0.8048	0.7284	0.7593	0.7612	0.7046	0.7832	0.6372	0.7584	0.6886	0.7459	0.8294	0.7221	0.7372	0.6724	0.7065	0.7872	0.7925	0.7476	0.7796	0.6864	0.723	0.7407	0.7485
chr3_171190000_171200000	chr3	171190000	171200000	0.7654	0.8323	0.6714	0.7023	0.8076	0.8208	0.7715	0.7874	0.7762	0.8647	0.8696	0.7864	0.7995	0.8042	0.8476	0.7043	0.8608	0.7974	0.5821	0.7249	0.6556	0.8679	0.8799	0.8388	0.8847	0.876	0.9301	0.8529	0.8476	0.9353	0.8173	0.8761	0.8829	0.8871	0.8997	0.8676	0.8242	0.8628	0.9347	0.9335	0.8842	0.8878	0.8758	0.9176	0.9091
chr3_171200000_171210000	chr3	171200000	171210000	0.8505	0.8499	0.696	0.7295	0.8702	0.8828	0.8442	0.8671	0.853	0.9303	0.9075	0.8791	0.8806	0.81	0.8793	0.6963	0.8762	0.8886	0.6469	0.671	0.7103	0.9283	0.9324	0.8851	0.918	0.9117	0.9257	0.9034	0.9083	0.9221	0.8684	0.8964	0.9186	0.8763	0.8965	0.8849	0.8555	0.9261	0.9127	0.9187	0.8757	0.8982	0.9006	0.8592	0.8967
chr3_171210000_171220000	chr3	171210000	171220000	0.8686	0.8284	0.553	0.6113	0.8074	0.8077	0.7853	0.831	0.7981	0.8889	0.8459	0.8324	0.7908	0.7273	0.8399	0.6002	0.7513	0.7179	0.4321	0.6192	0.5871	0.8897	0.93	0.8259	0.8552	0.8757	0.8951	0.8897	0.842	0.8881	0.8243	0.8316	0.8858	0.8821	0.8419	0.8689	0.7733	0.9042	0.9011	0.9103	0.8844	0.8674	0.868	0.8889	0.8938
chr3_171220000_171230000	chr3	171220000	171230000	0.7424	0.7958	0.5909	0.6115	0.7678	0.7418	0.7269	0.8034	0.7026	0.8629	0.821	0.7781	0.7328	0.7179	0.8496	0.6293	0.7024	0.7787	0.3781	0.5531	0.4724	0.8483	0.7832	0.7863	0.832	0.827	0.8819	0.8894	0.7976	0.8045	0.8282	0.8644	0.9127	0.8504	0.8018	0.8394	0.7725	0.8681	0.8576	0.8851	0.87	0.8451	0.8404	0.8563	0.8511
chr3_171230000_171240000	chr3	171230000	171240000	0.8538	0.8561	0.6093	0.7047	0.8359	0.8175	0.8025	0.8026	0.7907	0.8123	0.85	0.8063	0.8229	0.8025	0.8423	0.6833	0.7633	0.8466	0.4941	0.6511	0.5623	0.8307	0.85	0.8179	0.8766	0.8482	0.9247	0.9209	0.8971	0.9347	0.8344	0.8911	0.9012	0.8926	0.8806	0.8762	0.8277	0.8953	0.9316	0.9427	0.9047	0.9003	0.8981	0.8794	0.9194
chr3_171240000_171250000	chr3	171240000	171250000	0.8098	0.8682	0.6372	0.6429	0.7943	0.809	0.8036	0.8327	0.7639	0.8794	0.8643	0.8424	0.79	0.7658	0.8531	0.6895	0.8056	0.7611	0.49	0.7042	0.6735	0.877	0.8611	0.8291	0.8672	0.8759	0.8868	0.88	0.8327	0.9011	0.8297	0.8699	0.8526	0.8723	0.8608	0.8346	0.8063	0.8683	0.903	0.8751	0.8769	0.8719	0.8544	0.8848	0.8736
chr3_171250000_171260000	chr3	171250000	171260000	0.8336	0.83	0.667	0.6949	0.7836	0.78	0.7662	0.8287	0.7647	0.8966	0.8717	0.854	0.8321	0.7738	0.8847	0.6347	0.7318	0.8925	0.4731	0.7061	0.6165	0.8517	0.8473	0.8097	0.831	0.8732	0.8635	0.8808	0.7474	0.8848	0.7546	0.8581	0.8453	0.8305	0.8003	0.7716	0.7517	0.8098	0.8779	0.887	0.862	0.8637	0.8283	0.8644	0.8695
chr3_171260000_171270000	chr3	171260000	171270000	0.7619	0.7892	0.6215	0.656	0.7784	0.7592	0.7476	0.7417	0.6825	0.8175	0.8315	0.8047	0.8264	0.7439	0.8303	0.68	0.678	0.8169	0.4226	0.6263	0.4974	0.7356	0.7884	0.7323	0.7615	0.7668	0.7951	0.759	0.6698	0.7909	0.7668	0.8168	0.7412	0.7501	0.7287	0.7112	0.7123	0.7614	0.8521	0.8546	0.8126	0.7541	0.8111	0.831	0.8063
chr3_171270000_171280000	chr3	171270000	171280000	0.9095	0.8821	0.6355	0.7247	0.7915	0.8576	0.8454	0.8406	0.8076	0.8649	0.9142	0.8914	0.8897	0.7469	0.9166	0.6895	0.7717	0.8694	0.5465	0.6962	0.7161	0.9117	0.9138	0.8643	0.8623	0.8579	0.9236	0.9141	0.8879	0.9109	0.8485	0.8513	0.901	0.8952	0.8505	0.8596	0.8693	0.8966	0.9	0.9248	0.9076	0.8635	0.8586	0.8866	0.8954
chr3_171280000_171290000	chr3	171280000	171290000	0.8742	0.7796	0.5561	0.7071	0.736	0.7306	0.7067	0.7756	0.7677	0.8297	0.8164	0.8394	0.8128	0.6284	0.864	0.5422	0.7549	0.8664	0.4606	0.5413	0.577	0.7576	0.7359	0.7373	0.716	0.7405	0.9048	0.8722	0.8058	0.8501	0.7681	0.8334	0.8695	0.8271	0.804	0.8569	0.8044	0.7983	0.7917	0.839	0.8635	0.8653	0.834	0.8004	0.8403
chr3_171290000_171300000	chr3	171290000	171300000	0.8712	0.8246	0.6251	0.6897	0.816	0.8143	0.7681	0.842	0.7564	0.8792	0.8796	0.8561	0.8098	0.7066	0.915	0.6638	0.7621	0.8511	0.4689	0.6137	0.5836	0.825	0.8705	0.8423	0.8261	0.826	0.8846	0.8996	0.8671	0.8804	0.8273	0.8581	0.882	0.8799	0.8323	0.8258	0.7804	0.8587	0.8736	0.8717	0.8597	0.8783	0.8928	0.881	0.8735
chr3_171300000_171310000	chr3	171300000	171310000	0.7943	0.8286	0.6304	0.7251	0.7949	0.7646	0.7241	0.7434	0.7288	0.7307	0.7837	0.7536	0.7414	0.733	0.826	0.6023	0.7286	0.7584	0.5128	0.6767	0.6167	0.8019	0.7744	0.779	0.724	0.7861	0.9047	0.8986	0.8171	0.8972	0.8095	0.9106	0.9025	0.8497	0.8026	0.8492	0.8151	0.8527	0.8727	0.8622	0.8606	0.8843	0.8893	0.8765	0.8715
chr3_171310000_171320000	chr3	171310000	171320000	0.8852	0.8417	0.6696	0.6835	0.8266	0.7703	0.7835	0.8374	0.8078	0.845	0.8739	0.8526	0.8675	0.7864	0.9036	0.7151	0.8397	0.8748	0.5669	0.6696	0.6637	0.8952	0.9124	0.8578	0.8611	0.8546	0.9181	0.9112	0.8742	0.9229	0.7968	0.8608	0.8928	0.8803	0.8409	0.8079	0.7868	0.8896	0.9325	0.9338	0.8857	0.8732	0.8757	0.8841	0.8927
