sample	MethPipe_precision	MethPipe_recall	MethPipe_F1	MethylSeekR_precision	MethylSeekR_recall	MethylSeekR_F1	MMSeekR_precision	MMSeekR_recall	MMSeekR_F1
BP_venous_blood_S00D1DA1_myeloid_cell_AcuteMyeloidLeukemia	0.347749020424061	0.00403538573191088	0.0079781901116052	0.644230813468113	0.604466692067639	0.623715618904894	0.681684765139353	0.576566917773423	0.624734922697882
BP_venous_blood_S00D2BA1_myeloid_cell_AcuteMyeloidLeukemia	0.796370667571878	0.362910666956964	0.498604439673711	0.627231299423669	0.645928571013862	0.636442643754812	0.728294843308135	0.522370967414181	0.608380078195163
BP_venous_blood_S00D39A1_myeloid_cell_AcuteMyeloidLeukemia	0.764099294553704	0.416233447274839	0.538905127616226	0.658829971375496	0.591952205530155	0.623603153012488	0.601073064390348	0.694020674940126	0.64421149013071
BP_venous_blood_S00GPRA1_NA_ChronicLymphocyticLeukemia	0.750108677329582	0.548555177443936	0.633691308312458	0.630486817145603	0.743643246244285	0.682405946726386	0.660183267685049	0.711647765440163	0.684950166433752
BP_venous_blood_S00Q7NA1_myeloid_cell_AcuteMyeloidLeukemia	0.607833442597235	0.0265243370346179	0.0508305552797593	0.619683472887277	0.586125622323826	0.602437587562328	0.708752639644948	0.505796144132375	0.59031692602935
BP_venous_blood_S00XWJA1_myeloid_cell_AcuteMyeloidLeukemia	0.795982502043238	0.21256806589738	0.335531933303023	0.577217601724241	0.825514420494956	0.679390569886648	0.687552640990398	0.623901306335728	0.654182316905736
BP_venous_blood_S00Y05A1_myeloid_cell_AcuteMyeloidLeukemia	0.733238884701352	0.537746651426083	0.620458288054057	0.664861091374076	0.666196336454024	0.665528044191097	0.694593599993474	0.63455107917846	0.663216165061736
BP_venous_blood_S00Y13A1_myeloid_cell_AcuteMyeloidLeukemia	0.705610892388797	0.0854715102692503	0.152473695362867	0.738795400717878	0.510382017562958	0.60370589744339	0.73937583637889	0.509638866390885	0.603379067121208
BP_venous_blood_S00Y4YA1_myeloid_cell_AcuteMyeloidLeukemia	0.556590681984751	0.0700996407576747	0.12451702360892	0.582680149642957	0.692409398359823	0.632823337752921	0.685776764100814	0.564882758545613	0.619486699996557
BP_venous_blood_S00Y6UA1_myeloid_cell_AcuteMyeloidLeukemia	0.767944155620999	0.354563672254881	0.48513710664967	0.639530255281176	0.636467867044053	0.637995386305438	0.714193077743785	0.538713832643878	0.614164846516869
BP_venous_blood_S013PYA1_myeloid_cell_AcuteMyeloidLeukemia	0.760153984589127	0.431955741345526	0.550876938265917	0.664519757935656	0.5848414507584	0.62213985288522	0.697990989777268	0.559843696204369	0.62133102225479
BP_venous_blood_S013RUA1_peripheral_blood_mononuclear_cell_AcuteMyeloidLeukemia	0.357918422142311	0.00918260323680964	0.0179058222911993	0.666250748885152	0.615853587343058	0.640061658285953	0.677373969990349	0.631522945787067	0.653645370802495
BP_venous_blood_S013SSA1_myeloid_cell_AcuteMyeloidLeukemia	0.409981200531917	0.0178431286740692	0.034197902342848	0.631323393355463	0.644386832861601	0.637788227444287	0.706242203629491	0.568045337107192	0.62965002452761
BP_venous_blood_S0145XU1_NA_TcellProlymphocyticLeukemia	0.335731618438767	0.00827212860149503	0.0161464236782775	0.55819153072287	0.85251125771101	0.67464893073399	0.654544195308379	0.715878386675376	0.683838764342033
BP_venous_blood_S016KWU1_NA_TcellProlymphocyticLeukemia	0.777591460616318	0.494486242107555	0.604535836815233	0.652909104555081	0.681114781188766	0.666713762231057	0.687881832487832	0.667556973655563	0.67756701703823
BP_venous_blood_S016MSU1_NA_TcellProlymphocyticLeukemia	0.794353181850168	0.451445651353509	0.575706574813355	0.683934833333158	0.669181627839466	0.676477802523176	0.681605832970619	0.685504543145366	0.683549628908822
BP_venous_blood_S017B9A1_precursor_B_cell_AcuteLymphocyticLeukemia	0.31716429021002	0.00752157703752086	0.0146946688045804	0.640348900501691	0.255774650555193	0.36554114902137	0.652031433659074	0.65985063066986	0.655917729825196
BP_venous_blood_S017C7A1_precursor_B_cell_AcuteLymphocyticLeukemia	0.341163869004255	0.00851594165033747	0.0166170966302281	0.668111785631455	0.564178491182234	0.611762189884764	0.683586527958355	0.625985583859496	0.65351928001658
BP_venous_blood_S01FE8A1_NA_MantleCellLymphoma	0.717765541294742	0.632419395456855	0.672395073222322	0.600194836781454	0.784976584657813	0.680260776123176	0.637375350630606	0.739585664416866	0.684687027486858
BP_venous_blood_S01FF6A1_NA_MantleCellLymphoma	0.752740323250003	0.559155370491327	0.641665029222371	0.599498461650699	0.790553761521155	0.681896343149854	0.633630885405313	0.74443848973075	0.684579786603728
BP_venous_blood_S01FG4A1_NA_ChronicLymphocyticLeukemia	0.750339292236346	0.563645499673416	0.643729467648507	0.624991092757667	0.760628521663401	0.68617107608668	0.649872446419202	0.734122845634661	0.689433284063882
BP_venous_blood_S01FH2A1_NA_MantleCellLymphoma	0.794633240779423	0.329512567675448	0.465849959249307	0.65170166197526	0.652813860222077	0.652257286982064	0.705458138685484	0.630032379708252	0.665615313293495
BP_venous_blood_S01FJZA1_NA_MantleCellLymphoma	0.695317444340921	0.674420317149285	0.684709474347346	0.59251211155988	0.813316552725161	0.685574167413732	0.627968439997618	0.766138951302707	0.690206629809524
BP_venous_blood_S01FKXA1_NA_MantleCellLymphoma	0.784330748785552	0.436434311633645	0.560810366446397	0.638898909092931	0.69764745264533	0.666982020506747	0.702149634147976	0.648178302489295	0.674085376755069
