region	ESCC_Nonmalignant_3	ESCC_Nonmalignant_53F	ESCC_Nonmalignant_54M	ESCC_Nonmalignant_1	ESCC_Nonmalignant_2	GEJ_Nonmalignant_6	GEJ_Nonmalignant_4	GEJ_Nonmalignant_5	GEJ_Nonmalignant_3	GEJ_Nonmalignant_7	GEJ_Nonmalignant_1	GEJ_Nonmalignant_2	ESCC_14	ESCC_2	ESCC_8	ESCC_10	ESCC_11	ESCC_1	ESCC_15	ESCC_16	ESCC_17	ESCC_19	ESCC_7	ESCC_12	ESCC_9	ESCC_13	ESCC_20	ESCC_22	ESCC_6	ESCC_4	ESCC_21	ESCC_3	ESCC_5	EAC_4	GEJ_1	EAC_2	EAC_6	GEJ_3	GEJ_7	EAC_1	GEJ_6	EAC_3	GEJ_4	GEJ_2	GEJ_5
chr12_58060000_58070000	0.8266	0.8383	0.8306	0.8467	0.8316	0.81	0.7908	0.7555	0.8209	0.7666	0.8441	0.8585	0.8352	0.7339	0.7901	0.8312	0.8755	0.813	0.8603	0.8227	0.8005	0.7762	0.6595	0.8067	0.788	0.762	0.8207	0.7883	0.7126	0.7264	0.7985	0.7572	0.7015	0.8074	0.7962	0.8651	0.6688	0.7088	0.6891	0.4064	0.5658	0.6436	0.7048	0.5017	0.4667
chr12_58070000_58080000	0.8056	0.8304	0.8514	0.815	0.7938	0.7305	0.7022	0.738	0.7497	0.7843	0.7433	0.832	0.7858	0.764	0.7927	0.8747	0.8544	0.8507	0.8785	0.8647	0.8498	0.8588	0.6742	0.8159	0.8425	0.8272	0.8467	0.8833	0.7082	0.7296	0.818	0.7562	0.6032	0.7887	0.7143	0.7994	0.6575	0.6729	0.6669	0.3203	0.536	0.5506	0.583	0.461	0.3938
chr12_58080000_58090000	0.6947	0.7103	0.7579	0.7352	0.7346	0.7072	0.6873	0.6713	0.6913	0.7485	0.7246	0.702	0.7436	0.718	0.684	0.7514	0.8301	0.7128	0.7875	0.7667	0.7561	0.8415	0.6216	0.753	0.7843	0.829	0.8241	0.7976	0.6042	0.682	0.7186	0.6666	0.5353	0.7587	0.6987	0.676	0.6224	0.6544	0.6209	0.356	0.4737	0.5402	0.511	0.4402	0.3949
chr12_58090000_58100000	0.8097	0.8045	0.8751	0.8571	0.8254	0.8301	0.813	0.7826	0.8451	0.8238	0.8526	0.8738	0.8482	0.7793	0.7834	0.8427	0.8508	0.8833	0.7939	0.8174	0.8169	0.8917	0.7165	0.8261	0.8338	0.8633	0.8301	0.8045	0.7555	0.7359	0.7338	0.7466	0.6207	0.7988	0.7996	0.8122	0.6719	0.7392	0.7152	0.3339	0.5805	0.6609	0.6008	0.5272	0.4388
chr12_58100000_58110000	0.8115	0.7931	0.8634	0.8728	0.828	0.7947	0.8106	0.7494	0.8285	0.8363	0.854	0.8508	0.835	0.7878	0.8188	0.8564	0.8735	0.8879	0.8243	0.8093	0.8561	0.9116	0.7405	0.8445	0.8863	0.8563	0.8679	0.9204	0.7915	0.7824	0.8329	0.8188	0.6249	0.7977	0.7772	0.7914	0.7338	0.7775	0.7571	0.3545	0.5758	0.6234	0.5935	0.5351	0.4925
chr12_58110000_58120000	0.8095	0.8396	0.865	0.8738	0.757	0.7904	0.8175	0.7525	0.7749	0.8231	0.8268	0.8643	0.8436	0.7854	0.779	0.8885	0.8485	0.8425	0.7629	0.8459	0.803	0.9134	0.6526	0.7703	0.7915	0.7921	0.8437	0.9117	0.7808	0.7501	0.7447	0.7244	0.6102	0.7969	0.7075	0.6515	0.6728	0.6814	0.6796	0.375	0.5663	0.5758	0.6197	0.4777	0.3823
chr12_58120000_58130000	0.858	0.8699	0.8761	0.8904	0.8753	0.8394	0.8538	0.8285	0.8639	0.8479	0.8648	0.8625	0.8832	0.8593	0.8545	0.9169	0.928	0.8764	0.9033	0.8595	0.883	0.9124	0.7641	0.8935	0.8729	0.8928	0.8551	0.8498	0.768	0.8111	0.7264	0.7269	0.6494	0.8536	0.8799	0.8543	0.8172	0.8298	0.8075	0.4179	0.5534	0.7058	0.6447	0.7585	0.668
chr12_58130000_58140000	0.7892	0.806	0.8411	0.8545	0.7943	0.6896	0.7154	0.642	0.7225	0.715	0.7656	0.7809	0.7941	0.7361	0.7233	0.817	0.8111	0.8298	0.6809	0.8438	0.7937	0.8335	0.6377	0.7974	0.8099	0.785	0.7807	0.8553	0.6906	0.635	0.7082	0.6553	0.5025	0.7555	0.6682	0.6317	0.6278	0.6584	0.6419	0.2414	0.4235	0.5185	0.5285	0.403	0.2949
chr12_58140000_58150000	0.7563	0.7826	0.7882	0.7462	0.7107	0.7364	0.7515	0.7126	0.7648	0.7388	0.7972	0.8078	0.7912	0.7121	0.7247	0.7571	0.8157	0.7245	0.7168	0.793	0.8374	0.7585	0.6554	0.7495	0.7262	0.7386	0.7268	0.7063	0.6722	0.6985	0.7179	0.6846	0.5165	0.7315	0.7561	0.6812	0.6454	0.7227	0.7164	0.3085	0.5322	0.5938	0.5851	0.4744	0.4032
chr12_58150000_58160000	0.82	0.8626	0.8813	0.9119	0.8192	0.7384	0.8117	0.6844	0.8105	0.7968	0.7671	0.8035	0.8786	0.7324	0.817	0.9053	0.9048	0.9145	0.7863	0.7926	0.8054	0.9079	0.6661	0.888	0.8587	0.8453	0.8683	0.8958	0.7487	0.7556	0.7357	0.6774	0.5499	0.8049	0.7451	0.8101	0.7097	0.7396	0.6569	0.3415	0.5897	0.5471	0.5812	0.4101	0.385
chr12_58160000_58170000	0.7611	0.7968	0.8156	0.8245	0.7854	0.7355	0.744	0.6537	0.7544	0.7002	0.7472	0.7429	0.8028	0.7161	0.7413	0.8353	0.8464	0.8451	0.7414	0.8138	0.7789	0.8569	0.6203	0.8728	0.8023	0.782	0.826	0.8607	0.6612	0.715	0.7805	0.6859	0.4563	0.7581	0.6873	0.7582	0.6347	0.6702	0.6121	0.4257	0.6008	0.5428	0.6162	0.4684	0.4293
chr12_58170000_58180000	0.7872	0.776	0.8371	0.8161	0.8013	0.7985	0.8009	0.7336	0.7856	0.7725	0.812	0.8482	0.7427	0.7617	0.7261	0.8025	0.8448	0.8335	0.7725	0.8571	0.8221	0.8493	0.7224	0.8429	0.8102	0.8199	0.7926	0.8417	0.6879	0.7167	0.7172	0.7186	0.5487	0.8164	0.7613	0.7904	0.6612	0.725	0.7168	0.5642	0.6147	0.6677	0.633	0.6076	0.5159
chr12_58180000_58190000	0.7083	0.7625	0.7912	0.7575	0.6818	0.7493	0.7554	0.6966	0.7332	0.7993	0.7956	0.7593	0.8271	0.7382	0.6999	0.8026	0.8332	0.7771	0.73	0.7468	0.7746	0.8005	0.647	0.8168	0.7737	0.7825	0.8086	0.7656	0.6324	0.6192	0.6928	0.6445	0.4895	0.8025	0.688	0.7218	0.6115	0.6637	0.6672	0.3322	0.5558	0.5307	0.5465	0.4479	0.3855
chr12_58190000_58200000	0.8138	0.7803	0.8628	0.8408	0.7832	0.6855	0.6993	0.6806	0.7439	0.7716	0.7164	0.7793	0.7854	0.7228	0.8046	0.8509	0.8835	0.8601	0.6831	0.8215	0.8176	0.8842	0.6566	0.8401	0.8419	0.7653	0.8494	0.8735	0.7355	0.6101	0.7467	0.6571	0.5485	0.7644	0.7122	0.6346	0.6872	0.6381	0.6306	0.3263	0.5156	0.4944	0.6042	0.4016	0.3556
chr12_58200000_58210000	0.7961	0.847	0.8588	0.8721	0.8256	0.7518	0.7833	0.7022	0.7961	0.803	0.8314	0.8106	0.8592	0.7723	0.8068	0.8748	0.9019	0.8844	0.7616	0.8358	0.8294	0.9264	0.7132	0.8776	0.848	0.8588	0.8545	0.891	0.7409	0.7134	0.7494	0.7028	0.5497	0.8494	0.783	0.8048	0.7223	0.7182	0.718	0.3065	0.5829	0.5937	0.639	0.486	0.4194
chr12_58210000_58220000	0.8144	0.8087	0.8026	0.8127	0.7501	0.7371	0.7721	0.7352	0.7635	0.777	0.7765	0.7335	0.8292	0.8068	0.7466	0.8399	0.9009	0.8015	0.7288	0.862	0.8376	0.9196	0.7317	0.8123	0.8676	0.8102	0.8226	0.8841	0.7762	0.7016	0.7631	0.723	0.6205	0.8183	0.7999	0.7703	0.7017	0.7424	0.7084	0.467	0.5296	0.6532	0.6374	0.5683	0.5173
chr12_58220000_58230000	0.8444	0.8594	0.8928	0.9038	0.8434	0.6783	0.7627	0.7226	0.7467	0.7353	0.8154	0.8434	0.7756	0.7776	0.8255	0.9227	0.9102	0.9065	0.6565	0.8455	0.807	0.9239	0.6665	0.7815	0.863	0.8441	0.8089	0.8896	0.796	0.6224	0.7823	0.6979	0.5705	0.8337	0.7435	0.6546	0.7229	0.6819	0.7056	0.3746	0.6144	0.5952	0.6332	0.5019	0.3469
chr12_58230000_58240000	0.8393	0.8557	0.8883	0.8685	0.858	0.681	0.765	0.7448	0.8232	0.759	0.8103	0.8109	0.8213	0.7447	0.8123	0.8972	0.8889	0.8997	0.7239	0.7802	0.7816	0.8881	0.7117	0.8144	0.8449	0.8175	0.8097	0.8567	0.7869	0.6633	0.7738	0.7161	0.5103	0.7876	0.7614	0.6505	0.6958	0.7192	0.7106	0.3591	0.5236	0.5774	0.5853	0.6591	0.4903
chr12_58240000_58250000	0.7873	0.8019	0.8339	0.8184	0.8013	0.6425	0.7101	0.6878	0.7923	0.7767	0.7945	0.7723	0.8108	0.7578	0.7356	0.8334	0.7857	0.8144	0.6852	0.7585	0.8251	0.8276	0.6975	0.7973	0.82	0.8231	0.7091	0.8001	0.7001	0.6974	0.7415	0.7057	0.5038	0.7762	0.69	0.6396	0.6943	0.6521	0.6728	0.4739	0.5879	0.5566	0.5445	0.494	0.4191
