chrom	start	end	Methylation	NNscore	cor
chr16	27366102	27366102	0.964286	0.0449927687644959	-0.289412944863137
chr16	27366155	27366155	0.882353	0.974805653095245	-0.282797159462371
chr16	27366397	27366397	1	0.0590541422367096	-0.264899075632593
chr16	27366400	27366400	1	0.0482615888118744	-0.280412414885275
chr16	27366722	27366722	0.9375	0.0316500842571259	-0.268709232958703
chr16	27366737	27366737	0.978723	0.0326142251491547	-0.260061676130398
chr16	27366833	27366833	0.206897	0.111578470468521	-0.259899919952971
chr16	27366869	27366869	0.366667	0.0176942467689514	-0.239657322205949
chr16	27367252	27367252	0.117647	0.404322761297226	-0.228902162802978
chr16	27367332	27367332	0.96875	0.149694418907166	-0.218387159655665
chr16	27367384	27367384	1	0.197914057970047	-0.21699316940439
chr16	27367633	27367633	0.628571	0.941457033157349	-0.215781569809961
chr16	27367733	27367733	1	0.0471377730369568	-0.209335546032611
chr16	27368227	27368227	0.939394	0.616778111457825	-0.208689420841125
chr16	27368257	27368257	0.666667	0.988362324237823	-0.206070196229393
chr16	27368477	27368477	0.962963	0.0286561906337738	-0.204009165762357
chr16	27368496	27368496	0.928571	0.015024596452713	-0.199000715536947
chr16	27368661	27368661	1	0.00198938250541687	-0.197554374531272
chr16	27368663	27368663	0.967742	0.000592529773712158	-0.196740800564793
chr16	27368669	27368669	0.966667	0.000101470947265625	-0.18151509264666
chr16	27368745	27368745	0.96	0.124249923229218	-0.169671037219857
chr16	27369036	27369036	0.9	0.979504799842834	-0.168927074830424
chr16	27369212	27369212	0.090909	0.996298229694366	-0.16883148216845
chr16	27369403	27369403	0.521739	0.00755376219749451	-0.170174590244135
chr16	27369434	27369434	0.958333	0.730113351345062	-0.170154915621715
chr16	27369494	27369494	0.96	0.3737832903862	-0.168942871046842
chr16	27369596	27369596	0.965517	0.967205321788788	-0.170092956234976
chr16	27369703	27369703	0.92	0.587480485439301	-0.170459813939078
chr16	27369782	27369782	0.954545	0.693228554725647	-0.1699861379046
chr16	27369978	27369978	1	0.0441222488880157	-0.16985343224326
chr16	27370164	27370164	0.666667	0.904256093502045	-0.173548105888439
chr16	27370185	27370185	1	0.364476960897446	-0.171188764680812
chr16	27370462	27370462	1	0.0173822999000549	-0.170198444768931
chr16	27370495	27370495	1	0.372457045316696	-0.165536379296314
chr16	27370709	27370709	0.5	0.252503162622452	-0.171339386020362
chr16	27370731	27370731	1	0.275131571292877	-0.170021181023832
chr16	27370796	27370796	0.923077	0.52676682472229	-0.15836798016089
chr16	27371164	27371164	0.958333	0.549787497520447	-0.144576517107678
chr16	27371492	27371492	0.5625	0.369221895933151	-0.146504892126357
chr16	27371614	27371614	0.96875	0.329372984170914	-0.158150088032997
chr16	27371703	27371703	1	0.309327262639999	-0.15622686129365
chr16	27371774	27371774	1	0.0389530420303345	-0.154049306883628
chr16	27371895	27371895	1	0.970000696182251	-0.137111161365959
chr16	27372136	27372136	0.857143	0.0852017521858215	-0.144675828896983
chr16	27372238	27372238	1	0.0752785682678223	-0.138385711557534
chr16	27372272	27372272	0.933333	0.399207472801208	-0.133847237094423
chr16	27372298	27372298	0.114286	0.982576215267181	-0.143254839780809
chr16	27372394	27372394	0.666667	0.630903911590576	-0.123076740420108
chr16	27372434	27372434	1	0.239637804031372	-0.122688334491798
chr16	27372522	27372522	1	0.0128068208694458	-0.134223591114701
chr16	27372584	27372584	0.90625	0.413192677497864	-0.127452098536869
chr16	27372616	27372616	0.966667	0.326755732297897	-0.119358598235778
chr16	27372692	27372692	1	0.221177512407303	-0.110659857481549
chr16	27372715	27372715	1	0.0146874070167541	-0.126829621625569
chr16	27372812	27372812	1	0.0207372486591339	-0.144457657808012
chr16	27372825	27372825	0.95	0.128993099927902	-0.144779412108647
chr16	27372926	27372926	0.8	0.0491802394390106	-0.139453006319262
chr16	27373016	27373016	1	0.998729276657104	-0.123667379246211
chr16	27373130	27373130	1	0.371065509319305	-0.126327262591316
chr16	27373371	27373371	0.964286	0.620974707603455	-0.121019494411874
chr16	27373449	27373449	0.628571	0.975424718856812	-0.125128774442243
chr16	27373538	27373538	1	0.325673168897629	-0.119565831369676
chr16	27373744	27373744	0.846154	0.0268504798412323	-0.123028861889888
chr16	27373751	27373751	0.962963	0.0198848128318787	-0.116567518303319
chr16	27373833	27373833	1	0.666668236255646	-0.116480223121647
chr16	27373886	27373886	0.411765	0.319626587629318	-0.113699157746497
chr16	27373980	27373980	0.958333	0.379361498355866	-0.115439529203497
chr16	27373989	27373989	1	0.590973937511444	-0.114860434511566
chr16	27374257	27374257	0.9	0.97545393705368	-0.117549003476573
chr16	27374660	27374660	1	0.0756654024124146	-0.116724605125824
chr16	27374667	27374667	1	0.0227130889892578	-0.111290420392168
chr16	27374718	27374718	0.964286	0.349987822771072	-0.104384745989086
chr16	27374836	27374836	0.571429	0.103506606817245	-0.100717803693104
chr16	27374931	27374931	0.863636	0.97398716211319	-0.108089684453876
chr16	27375003	27375003	0.958333	0.616777169704437	-0.113787868261905
chr16	27375021	27375021	0.045455	0.363456970453262	-0.135743394057105
chr16	27375106	27375106	0.931034	0.948650884628296	-0.142903981014848
chr16	27375121	27375121	0.964286	0.551644599437714	-0.155375298662612
chr16	27375297	27375297	0.285714	0.888935899734497	-0.160449921525208
chr16	27375623	27375623	1	0.0242951452732086	-0.179014290366552
chr16	27375637	27375637	0.958333	0.441421210765839	-0.166460851618392
chr16	27375732	27375732	0.227273	0.95469217300415	-0.157540356612316
chr16	27375851	27375851	0.125	0.782145345211029	-0.155882689910955
chr16	27375899	27375899	0.171429	0.552195793390274	-0.155568588829694
chr16	27375973	27375973	0.16129	0.144031143188477	-0.164748403627308
chr16	27375998	27375998	0.15625	0.633920979499817	-0.171999877345606
chr16	27376273	27376273	0.928571	0.866629934310913	-0.168197589336407
chr16	27376405	27376405	1	0.690792620182037	-0.173129101077895
chr16	27376470	27376470	1	0.831549394130707	-0.172971840410787
chr16	27376622	27376622	0.595238	0.546663749217987	-0.166114882326162
chr16	27376747	27376747	0.96	0.00812375545501709	-0.161635194382297
chr16	27376753	27376753	0.541667	0.388309061527252	-0.166380064202817
chr16	27376928	27376928	0.962963	0.204994106292725	-0.16448725816255
chr16	27377261	27377261	1	0.00262948274612427	-0.164135707716423
chr16	27377272	27377272	0.971429	0.0843921065330505	-0.162387889146981
chr16	27377499	27377499	1	0.0434109926223755	-0.16116021408676
chr16	27377551	27377551	0.909091	0.215772449970245	-0.171684671648719
chr16	27377637	27377637	1	0.766338908672333	-0.182403730638889
chr16	27377710	27377710	0.961538	0.0108894824981689	-0.189950412321326
chr16	27377712	27377712	0.966667	0.000414413213729858	-0.191414294715533
chr16	27378031	27378031	0.387097	0.156380087137222	-0.207516876727276
chr16	27378053	27378053	0.233333	0.132440221309662	-0.199537482204278
chr16	27378647	27378647	0.095238	0.0511082947254181	-0.209255379466357
chr16	27378824	27378824	0	0.956284594535828	-0.20658604971908
chr16	27379211	27379211	0	0.23428373336792	-0.203365774381781
chr16	27379288	27379288	0	0.100875496864319	-0.198941619763733
chr16	27379414	27379414	0	0.319193559885025	-0.190196407273763
chr16	27379688	27379688	0.037037	0.323464411497116	-0.203968642631854
chr16	27379724	27379724	0	0.204829508066177	-0.209102060334221
chr16	27379734	27379734	0	0.240431445837021	-0.212409344231628
chr16	27379824	27379824	0.825	0.0902173519134522	-0.211995825609831
chr16	27379835	27379835	0.857143	0.0669492363929749	-0.204551682861125
chr16	27379859	27379859	0.378378	0.195571535825729	-0.208109295511198
chr16	27379958	27379958	0.966667	0.0307819843292236	-0.206689781995168
chr16	27379978	27379978	0.677419	0.0540480375289917	-0.213197530513129
chr16	27380033	27380033	0.769231	0.927418720722198	-0.218241949033051
chr16	27380108	27380108	0.586207	0.026753968000412	-0.217427100301111
chr16	27380132	27380132	0.882353	0.423312616348267	-0.217468329464717
chr16	27380187	27380187	0.931034	0.0299663841724396	-0.215710118820862
chr16	27380359	27380359	0.136364	0.00255532264709473	-0.213285592150109
chr16	27380375	27380375	0.137931	0.0686005294322967	-0.212230133157009
chr16	27380565	27380565	0.911765	0.93029248714447	-0.21430607218522
chr16	27380858	27380858	0.964286	0.00708152651786804	-0.226058550745972
chr16	27380866	27380866	0.966667	0.00734201669692993	-0.226231831389228
chr16	27380984	27380984	0.869565	0.0867918312549591	-0.226928794114624
chr16	27381276	27381276	0.541667	0.844836091995239	-0.243458703951118
chr16	27381441	27381441	0.518519	0.34338715672493	-0.237634761846624
chr16	27381522	27381522	0.969697	0.0260753333568573	-0.243993932737231
chr16	27382425	27382425	0.954545	0.356450390815735	-0.247084068109979
chr16	27382441	27382441	0.958333	0.0743122816085815	-0.241065530826637
chr16	27382816	27382816	0.941176	0.0292679309844971	-0.232897207596596
chr16	27382913	27382913	1	0.43061009645462	-0.228260880429208
chr16	27382975	27382975	0.956522	0.200459903478622	-0.231830466163852
chr16	27383321	27383321	0.304348	0.294186770915985	-0.229890160709123
chr16	27383636	27383636	0.961538	0.0411337196826935	-0.230938126273811
chr16	27383830	27383830	0.851852	0.0950065493583679	-0.227968503668225
chr16	27383997	27383997	0	0.18284866809845	-0.230235001794928
chr16	27384015	27384015	0	0.0912781774997711	-0.234403436380407
chr16	27384120	27384120	0	0.575823694467545	-0.23951126710494
chr16	27384236	27384236	0.054054	0.956107234954834	-0.247755869127557
chr16	27384342	27384342	0.941176	0.198373746871948	-0.251548948581794
chr16	27384384	27384384	0.485714	0.902283918857574	-0.254680116293114
chr16	27384475	27384475	0.285714	0.125874626636505	-0.253058662869393
chr16	27384628	27384628	0.652174	0.444618093967438	-0.262925371160249
chr16	27384639	27384639	1	0.0295050799846649	-0.252708761478558
chr16	27384723	27384723	0.909091	0.0497169852256775	-0.245854767788364
chr16	27384967	27384967	0.2	0.980226230621338	-0.24695653188675
chr16	27385180	27385180	0.527778	0.0924103200435638	-0.240237463743787
chr16	27385308	27385308	1	0.154113167524338	-0.244194969474938
chr16	27385540	27385540	0.111111	0.930713629722595	-0.242750361495643
chr16	27385558	27385558	0.178571	0.126129305362701	-0.236472537747194
chr16	27385654	27385654	0.078947	0.0738842189311981	-0.234008925184462
chr16	27385743	27385743	0.02381	0.047692209482193	-0.233008736367619
chr16	27385801	27385801	0.075	0.83997266292572	-0.225019181355379
chr16	27385950	27385950	0.034483	0.979489874839783	-0.218733492182187
chr16	27386069	27386069	0.121212	0.518550127744675	-0.21539716730872
chr16	27386119	27386119	0.181818	0.05166095495224	-0.205180203754348
chr16	27386168	27386168	0.228571	0.0460159540176392	-0.20616987859622
chr16	27386284	27386284	0.096774	0.383460146188736	-0.222782856514322
chr16	27386485	27386485	0.615385	0.0248901724815369	-0.226907101639915
chr16	27386978	27386978	0.935484	0.766314828395844	-0.232664285725373
chr16	27387018	27387018	0.933333	0.704122531414032	-0.233222124723651
chr16	27387072	27387072	1	0.537844008207321	-0.231480514428719
chr16	27387112	27387112	0.935484	0.0419446766376495	-0.233403852262311
chr16	27387227	27387227	0.636364	0.91803652048111	-0.233798719669482
chr16	27387463	27387463	0.56	0.303142720460892	-0.242022081734984
chr16	27387554	27387554	1	0.0920289397239685	-0.240328527274046
chr16	27387589	27387589	0.965517	0.0943369925022125	-0.243870676439188
chr16	27387644	27387644	0.965517	0.637566339969635	-0.23708453003425
chr16	27387812	27387812	0.633333	0.970320677757263	-0.247359416704518
