gene	motif	NumOfRegions	lowerOR	upperOR	OR	p.value	FDR	family	subfamily	GeneId	ESCCTumorMean	EACTumorMean	EACNormalMean	Genebiotype
FOXO3	FOXO3_HUMAN.H11MO.0.B	1994	1.59869780068559	1.78347659971865	1.68874125546985	1.53540818942771e-74	1.33847539991415e-73	Forkhead box (FOX) factors	FOXO	ENSG00000118689	11.9969610019629	15.0806188578476	20.2602391992571	protein_coding
FOXC1	FOXC1_HUMAN.H11MO.0.C	2254	1.56920464977286	1.74287711438454	1.65392118154116	2.63146128971302e-75	2.34492439372205e-74	Forkhead box (FOX) factors	FOXC	ENSG00000054598	9.54336438332143	8.65155915347513	3.09920645993714	protein_coding
PPARA	PPARA_HUMAN.H11MO.0.B	2025	1.51175563241167	1.68502671928107	1.59626478768093	3.8362121676805e-61	2.48116303103206e-60	Thyroid hormone receptor-related factors (NR1)	PPAR (NR1C)	ENSG00000186951	3.95539663826914	5.49044778263897	6.78777879133571	protein_coding
TCF7L2	TF7L2_HUMAN.H11MO.0.A	1475	1.45887777959953	1.64787018518814	1.55083952679735	7.45625582521775e-43	3.78475770368648e-42	TCF-7-related factors	TCF-7L2 (TCF-4) [1]	ENSG00000148737	6.52680643966717	16.1472990456156	10.5884952655514	protein_coding
PPARG	PPARG_HUMAN.H11MO.0.A	2353	1.44489158946512	1.60215618925024	1.5216542723693	2.6785240167183e-55	1.57954136868241e-54	Thyroid hormone receptor-related factors (NR1)	PPAR (NR1C)	ENSG00000132170	1.19398493916997	9.7032725103581	9.14190534999571	protein_coding
ELF1	ELF1_HUMAN.H11MO.0.A	2850	1.4486094995641	1.5981443418059	1.52163298925905	9.92554955077224e-62	6.63357561643278e-61	Ets-related factors	Elf-1-like factors	ENSG00000120690	21.7807201192471	29.0589362993013	21.4039616351857	protein_coding
ELK1	ELK1_HUMAN.H11MO.0.B	2214	1.43326276636759	1.59238477842021	1.51089048776253	1.68076382043513e-51	9.76791727528242e-51	Ets-related factors	Elk-like factors	ENSG00000126767	10.3885714247933	13.1629111430063	7.04065951037714	protein_coding
FOXK1	FOXK1_HUMAN.H11MO.0.A	2627	1.43489471953693	1.58613182644078	1.50874245222526	8.023846794e-57	4.80233218566269e-56	Forkhead box (FOX) factors	FOXK	ENSG00000164916	9.65520546713605	8.73744455428833	7.98954785918286	protein_coding
ETV4	ETV4_HUMAN.H11MO.0.B	2848	1.39380221070118	1.53757724177454	1.46399289453705	1.97690796084039e-51	1.13248584613857e-50	Ets-related factors	Elk-like factors	ENSG00000175832	13.7508217590769	18.8321234114106	4.85329343474086	protein_coding
SOX9	SOX9_HUMAN.H11MO.0.B	1485	1.35211285136755	1.52616883734624	1.43681810547521	1.69395041881414e-30	7.07577206192158e-30	SOX-related factors	Group E	ENSG00000125398	31.9810305802044	79.4962866135674	43.0014349061571	protein_coding
ESRRA	ERR1_HUMAN.H11MO.0.A	1964	1.35196668436314	1.50805854152037	1.42805749351482	3.22320323800591e-36	1.46875511186406e-35	Steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)	ENSG00000173153	14.5170338342686	19.8240732865565	18.0353904439257	protein_coding
ETS1	ETS1_HUMAN.H11MO.0.A	3008	1.34155566527992	1.47812941656353	1.40829889411707	4.32340957204121e-43	2.22267594665195e-42	Ets-related factors	Ets-like factors	ENSG00000134954	9.07616747424592	15.7007010805532	8.75465360352571	protein_coding
ETV5	ETV5_HUMAN.H11MO.0.C	3408	1.32859810727499	1.46097371454035	1.39321743754356	1.5161121964664e-42	7.59951238478785e-42	Ets-related factors	Elk-like factors	ENSG00000244405	7.60504377545529	5.7884998968701	3.633840600051	protein_coding
MECOM	EVI1_HUMAN.H11MO.0.B	2082	1.30275862893661	1.44992001556998	1.37452394717639	1.33427592998591e-30	5.63204892551946e-30	Factors with multiple dispersed zinc fingers	Evi-1-like factors	ENSG00000085276	2.981665457261	14.3581582306822	21.2817469021429	protein_coding
HOXB7	HXB7_HUMAN.H11MO.0.C	1319	1.28332163050341	1.45670757341251	1.36759248212231	0.00000000000000000000220199671177186	0.00000000000000000000706400545136414	HOX-related factors	HOX6-7	ENSG00000260027	8.48052148684945	12.0893601966173	3.18845509694557	protein_coding
SPI1	SPI1_HUMAN.H11MO.0.A	2870	1.29290261347089	1.42577467176061	1.35783947833523	3.67557455866585e-34	1.61967626156594e-33	Ets-related factors	Spi-like factors	ENSG00000066336	9.58971687156026	8.73691466384235	4.47762046147429	protein_coding
GABPA	GABPA_HUMAN.H11MO.0.A	2810	1.27902725050235	1.41114118951714	1.34356618932358	1.14207418761469e-31	4.87203988546266e-31	Ets-related factors	Ets-like factors	ENSG00000154727	6.48636176530171	6.72286671259641	6.29448348455143	protein_coding
