chrom	start	end	num	length
chr1	3921460	3921887	9	427
chr1	3921887	3932132	10	10245
chr1	3932132	3951821	11	19689
chr1	3951821	4054221	12	102400
chr1	4054221	4075619	11	21398
chr1	4075619	4329337	12	253718
chr1	4329337	4361788	11	32451
chr1	4361788	4626164	12	264376
chr1	4626164	4666051	11	39887
chr1	4666051	5149105	12	483054
chr1	5149105	5166374	11	17269
chr1	5166374	5410374	12	244000
chr1	5410374	5436490	11	26116
chr1	5436490	5452381	12	15891
chr1	5452381	5471492	11	19111
chr1	5471492	5494686	12	23194
chr1	5494686	5504525	11	9839
chr1	5504525	5524102	10	19577
chr1	5524102	5640965	11	116863
chr1	5640965	5641585	10	620
chr1	5641585	5660629	9	19044
chr1	5660629	5662098	10	1469
chr1	5662098	5666196	11	4098
chr1	5666196	5686643	12	20447
chr1	5686643	5712339	11	25696
chr1	5712339	5718162	10	5823
chr1	5718162	5746447	11	28285
chr1	5746447	5782032	10	35585
chr1	5782032	5816662	11	34630
chr1	5816662	5848065	10	31403
chr1	5848065	5850127	9	2062
chr1	5850127	5850877	7	750
chr1	5850877	5851411	6	534
chr1	5851411	5855503	4	4092
chr1	5855503	5855559	2	56
chr1	5855559	5856805	1	1246
chr1	6011064	6016736	1	5672
chr1	6016736	6023489	2	6753
chr1	6023489	6024469	1	980
chr1	6024469	6028773	2	4304
chr1	6028773	6034023	3	5250
chr1	6034023	6050839	4	16816
chr1	6050839	6077040	3	26201
chr1	6077040	6095808	4	18768
chr1	6095808	6118815	5	23007
chr1	6118815	6132278	6	13463
chr1	6132278	6136589	7	4311
chr1	6136589	6144838	6	8249
chr1	6144838	6148980	7	4142
chr1	6148980	6169545	8	20565
chr1	6169545	6171354	7	1809
chr1	6171354	6174583	6	3229
chr1	6174583	6175195	5	612
chr1	6175195	6175989	4	794
chr1	6175989	6181727	3	5738
chr1	6181727	6181857	2	130
chr1	6181857	6182467	1	610
chr1	6404669	6462587	1	57918
chr1	6706000	6717714	1	11714
chr1	6717714	6718868	2	1154
chr1	6718868	6723882	3	5014
chr1	6723882	6732745	4	8863
chr1	6732745	6733452	5	707
chr1	6733452	6733955	6	503
chr1	6733955	6769040	7	35085
chr1	6769040	6769905	6	865
chr1	6769905	6770373	5	468
chr1	6770373	6771150	4	777
chr1	6771150	6771195	3	45
chr1	6771195	6771475	2	280
chr1	6771475	6774894	1	3419
chr1	6909994	6910130	1	136
chr1	6910130	6910719	2	589
chr1	6910719	6912408	3	1689
chr1	6912408	6913474	4	1066
chr1	6913474	6915552	5	2078
chr1	6915552	6916900	6	1348
chr1	6916900	6917302	7	402
chr1	6917302	6918624	8	1322
chr1	6918624	6931443	9	12819
chr1	6931443	6932515	8	1072
chr1	6932515	6936188	7	3673
chr1	6936188	6948141	8	11953
chr1	6948141	6954848	9	6707
chr1	6954848	6962113	10	7265
chr1	6962113	6967138	11	5025
chr1	6967138	7105579	12	138441
chr1	7105579	7170764	11	65185
chr1	7170764	7195979	12	25215
chr1	7195979	7197391	11	1412
chr1	7197391	7202108	10	4717
chr1	7202108	7203968	9	1860
chr1	7203968	7206967	8	2999
chr1	7206967	7209171	7	2204
chr1	7209171	7210411	6	1240
chr1	7210411	7210486	5	75
chr1	7210486	7211719	4	1233
chr1	7211719	7212812	3	1093
chr1	7212812	7220938	2	8126
chr1	7220938	7231058	1	10120
chr1	7231058	7232142	2	1084
chr1	7232142	7236564	3	4422
chr1	7236564	7236756	4	192
chr1	7236756	7239530	5	2774
chr1	7239530	7253025	6	13495
chr1	7253025	7255495	5	2470
chr1	7255495	7258260	4	2765
chr1	7258260	7275988	5	17728
chr1	7275988	7279999	6	4011
chr1	7279999	7290952	5	10953
chr1	7290952	7292243	6	1291
chr1	7292243	7299058	7	6815
chr1	7299058	7299507	8	449
chr1	7299507	7325292	7	25785
chr1	7325292	7343377	8	18085
chr1	7343377	7343764	7	387
chr1	7343764	7350546	6	6782
chr1	7350546	7366474	7	15928
chr1	7366474	7369807	6	3333
chr1	7369807	7370041	5	234
chr1	7370041	7373274	4	3233
chr1	7373274	7392458	3	19184
chr1	7392458	7418096	2	25638
chr1	7418096	7423389	3	5293
chr1	7423389	7424603	4	1214
chr1	7424603	7426365	5	1762
chr1	7426365	7430460	6	4095
chr1	7430460	7438769	7	8309
chr1	7438769	7447224	6	8455
chr1	7447224	7457020	5	9796
chr1	7457020	7482679	6	25659
chr1	7482679	7487715	5	5036
chr1	7487715	7504766	4	17051
chr1	7504766	7509480	5	4714
chr1	7509480	7512406	6	2926
chr1	7512406	7531921	7	19515
chr1	7531921	7540294	6	8373
chr1	7540294	7540547	5	253
chr1	7540547	7541710	4	1163
chr1	7541710	7553661	5	11951
chr1	7553661	7556491	4	2830
chr1	7556491	7556599	3	108
chr1	7556599	7559905	4	3306
chr1	7559905	7573398	3	13493
chr1	7573398	7579126	4	5728
chr1	7579126	7584904	5	5778
chr1	7584904	7588130	6	3226
chr1	7588130	7588255	7	125
chr1	7588255	7589784	8	1529
chr1	7589784	7591284	9	1500
chr1	7591284	7594313	10	3029
chr1	7594313	7597550	11	3237
chr1	7597550	7627690	12	30140
chr1	7627690	7633895	11	6205
chr1	7633895	7633933	10	38
chr1	7633933	7636610	9	2677
chr1	7636610	7638447	8	1837
chr1	7638447	7647176	6	8729
chr1	7647176	7652232	5	5056
chr1	7652232	7658167	4	5935
chr1	7658167	7658385	3	218
chr1	7658385	7700948	2	42563
chr1	7700948	7714214	1	13266
chr1	7849437	7855392	1	5955
chr1	7855392	7871476	2	16084
chr1	7871476	7893359	3	21883
chr1	7893359	7894353	2	994
chr1	7894353	7908428	1	14075
chr1	7908428	7916983	2	8555
chr1	7916983	7917530	4	547
chr1	7917530	7922044	5	4514
chr1	7922044	7923162	6	1118
chr1	7923162	7935755	7	12593
chr1	7935755	7935914	6	159
chr1	7935914	7938101	5	2187
chr1	7938101	7941597	4	3496
chr1	7941597	7944779	3	3182
chr1	7944779	7946653	2	1874
chr1	7946653	7947374	1	721
chr1	8009582	8031885	1	22303
chr1	8045894	8061888	1	15994
chr1	8061888	8064819	2	2931
chr1	8064819	8074832	1	10013
chr1	8074832	8079497	2	4665
chr1	8079497	8097885	1	18388
chr1	8920440	8931034	1	10594
chr1	8931034	8944479	2	13445
chr1	8944479	8948381	3	3902
chr1	8948381	8966226	2	17845
chr1	8966226	8969237	3	3011
chr1	8969237	8987968	2	18731
chr1	8987968	9003433	1	15465
chr1	9003433	9030022	2	26589
chr1	9030022	9033522	3	3500
chr1	9033522	9038093	4	4571
chr1	9038093	9039068	3	975
chr1	9039068	9056054	4	16986
chr1	9056054	9060253	3	4199
chr1	9060253	9095487	2	35234
chr1	9095487	9097011	1	1524
chr1	9198749	9203350	1	4601
chr1	9203350	9204391	2	1041
chr1	9204391	9207342	3	2951
chr1	9207342	9221186	4	13844
chr1	9221186	9222655	3	1469
chr1	9222655	9228691	2	6036
chr1	9228691	9229475	1	784
chr1	9384352	9411629	1	27277
chr1	9418899	9433826	1	14927
chr1	9433826	9436782	2	2956
chr1	9436782	9438493	3	1711
chr1	9438493	9450814	2	12321
chr1	9450814	9452607	3	1793
chr1	9452607	9463874	4	11267
chr1	9463874	9469626	5	5752
chr1	9469626	9480962	6	11336
chr1	9480962	9486403	5	5441
chr1	9486403	9501224	4	14821
chr1	9501224	9503449	3	2225
chr1	9503449	9517813	2	14364
chr1	9517813	9519381	1	1568
chr1	9620524	9630740	2	10216
chr1	9630740	9661671	3	30931
chr1	9661671	9662282	2	611
chr1	9662282	9663770	1	1488
chr1	9693175	9708783	1	15608
chr1	9994390	9999654	1	5264
chr1	9999654	10000610	2	956
chr1	10000610	10001075	3	465
chr1	10001075	10014663	4	13588
chr1	10014663	10015524	3	861
chr1	10015524	10015906	2	382
chr1	10015906	10016191	1	285
chr1	10676450	10703698	1	27248
chr1	10754357	10760970	1	6613
chr1	10760970	10768325	2	7355
chr1	10768325	10785922	3	17597
chr1	10785922	10787554	2	1632
chr1	10787554	10798046	1	10492
chr1	10798046	10802178	2	4132
chr1	10802178	10803124	3	946
chr1	10803124	10804764	4	1640
chr1	10804764	10826998	5	22234
chr1	10826998	10844654	6	17656
chr1	10844654	10848213	5	3559
chr1	10848213	10861243	6	13030
chr1	10861243	10873852	5	12609
chr1	10873852	10891051	7	17199
chr1	10891051	10901907	6	10856
chr1	10901907	10908171	5	6264
chr1	10908171	10912329	4	4158
chr1	10912329	10915114	3	2785
chr1	10915114	10915151	2	37
chr1	10915151	10917094	1	1943
chr1	10961864	10986147	1	24283
chr1	11303490	11304548	1	1058
chr1	11304548	11308480	2	3932
chr1	11308480	11309318	3	838
chr1	11309318	11310948	4	1630
chr1	11310948	11312625	5	1677
chr1	11312625	11314334	6	1709
chr1	11314334	11314348	7	14
chr1	11314348	11315212	8	864
chr1	11315212	11324938	9	9726
chr1	11324938	11336738	8	11800
chr1	11336738	11340516	9	3778
chr1	11340516	11358671	10	18155
chr1	11358671	11369936	11	11265
chr1	11369936	11486225	12	116289
chr1	11486225	11487444	11	1219
chr1	11487444	11516452	10	29008
chr1	11516452	11534540	11	18088
chr1	11534540	11628315	12	93775
chr1	11628315	11634211	11	5896
chr1	11634211	11637312	10	3101
chr1	11637312	11639649	9	2337
chr1	11639649	11640938	8	1289
chr1	11640938	11641229	7	291
chr1	11641229	11644603	6	3374
chr1	11644603	11647123	5	2520
chr1	11647123	11648195	4	1072
chr1	11648195	11649349	2	1154
chr1	11649349	11650123	1	774
chr1	11686932	11688372	1	1440
chr1	11688372	11689964	2	1592
chr1	11689964	11713054	3	23090
chr1	11713054	11717475	2	4421
chr1	11717475	11723235	1	5760
chr1	11847816	11848506	1	690
chr1	11848506	11850372	2	1866
chr1	11850372	11850762	3	390
chr1	11850762	11851294	4	532
chr1	11851294	11851586	5	292
chr1	11851586	11852126	6	540
chr1	11852126	11853374	7	1248
chr1	11853374	11856029	8	2655
chr1	11856029	11858327	9	2298
chr1	11858327	11859323	10	996
chr1	11859323	11862040	11	2717
chr1	11862040	11876907	12	14867
chr1	11876907	11880073	11	3166
chr1	11880073	11885469	10	5396
chr1	11885469	11886606	8	1137
chr1	11886606	11893639	7	7033
chr1	11893639	11898304	6	4665
chr1	11898304	11898348	5	44
chr1	11898348	11899916	4	1568
chr1	11899916	11900103	3	187
chr1	11900103	11901267	2	1164
chr1	11901267	11902087	1	820
chr1	12041160	12043158	1	1998
chr1	12043158	12044166	2	1008
chr1	12044166	12044612	3	446
chr1	12044612	12046990	4	2378
chr1	12046990	12049414	5	2424
chr1	12049414	12052556	6	3142
chr1	12052556	12073697	7	21141
chr1	12073697	12074090	6	393
chr1	12074090	12075770	5	1680
chr1	12075770	12075941	4	171
chr1	12075941	12077065	3	1124
chr1	12077065	12078320	2	1255
chr1	12078320	12078551	1	231
chr1	12101893	12102166	2	273
chr1	12102166	12102587	3	421
chr1	12102587	12117427	4	14840
chr1	12117427	12118159	2	732
chr1	12118159	12118291	1	132
chr1	12625792	12626396	1	604
chr1	12626396	12627732	2	1336
chr1	12627732	12630875	3	3143
chr1	12630875	12646225	4	15350
chr1	12646225	12647216	5	991
chr1	12647216	12650229	6	3013
chr1	12650229	12650844	5	615
chr1	12650844	12658560	6	7716
chr1	12658560	12668214	7	9654
chr1	12668214	12673022	8	4808
chr1	12673022	12675180	9	2158
chr1	12675180	12676725	10	1545
chr1	12676725	12676902	11	177
chr1	12676902	13291069	12	614167
chr1	13291069	13432626	11	141557
chr1	13432626	13523063	12	90437
chr1	13523063	13525972	11	2909
chr1	13525972	13552609	10	26637
chr1	13552609	13557669	11	5060
chr1	13557669	13646853	12	89184
chr1	13646853	13647365	11	512
chr1	13647365	13647932	10	567
chr1	13647932	13648121	9	189
chr1	13648121	13648191	8	70
chr1	13648191	13649944	7	1753
chr1	13649944	13650157	5	213
chr1	13650157	13668524	4	18367
chr1	13668524	13680272	5	11748
chr1	13680272	13680434	4	162
chr1	13680434	13685758	5	5324
chr1	13685758	13688416	6	2658
chr1	13688416	13694672	7	6256
chr1	13694672	13699010	8	4338
chr1	13699010	13717129	9	18119
chr1	13717129	13727403	8	10274
chr1	13727403	13729562	7	2159
chr1	13729562	13733175	6	3613
chr1	13733175	13734995	5	1820
chr1	13734995	13735655	4	660
chr1	13735655	13738372	3	2717
chr1	13738372	13738480	2	108
chr1	13738480	13741821	1	3341
chr1	13816836	13825196	1	8360
chr1	13825196	13825584	2	388
chr1	13825584	13827408	3	1824
chr1	13827408	13830208	4	2800
chr1	13830208	13830462	5	254
chr1	13830462	13835145	6	4683
chr1	13835145	13839118	7	3973
chr1	13839118	13845034	8	5916
chr1	13845034	13867454	9	22420
chr1	13867454	13873935	8	6481
chr1	13873935	13873990	7	55
chr1	13873990	13874999	6	1009
chr1	13874999	13882865	5	7866
chr1	13882865	13899598	6	16733
chr1	13899598	13902571	7	2973
chr1	13902571	13905866	8	3295
chr1	13905866	13908494	9	2628
chr1	13908494	13909072	10	578
chr1	13909072	13910404	11	1332
chr1	13910404	13932357	12	21953
chr1	13932357	13941627	11	9270
chr1	13941627	13960638	10	19011
chr1	13960638	13990555	11	29917
chr1	13990555	14065475	12	74920
chr1	14065475	14156224	11	90749
chr1	14156224	14274119	12	117895
chr1	14274119	14299374	11	25255
chr1	14299374	14403969	12	104595
chr1	14403969	14459500	11	55531
chr1	14459500	14498073	12	38573
chr1	14498073	14632164	11	134091
chr1	14632164	14716397	12	84233
chr1	14716397	14718321	11	1924
chr1	14718321	14735245	10	16924
chr1	14735245	14763865	11	28620
chr1	14763865	14769508	10	5643
chr1	14769508	14786422	9	16914
chr1	14786422	14788643	10	2221
chr1	14788643	14791278	9	2635
chr1	14791278	14801992	10	10714
chr1	14801992	14867951	11	65959
chr1	14867951	14868854	10	903
chr1	14868854	14873934	9	5080
chr1	14873934	14889920	8	15986
chr1	14889920	14901671	9	11751
chr1	14901671	14904243	8	2572
chr1	14904243	14904897	7	654
chr1	14904897	14908927	6	4030
chr1	14908927	14915040	5	6113
chr1	14915040	14917659	4	2619
chr1	14917659	14918036	3	377
chr1	14918036	14927031	2	8995
chr1	14927031	14936370	1	9339
chr1	14936370	14937270	2	900
chr1	14937270	14951525	3	14255
chr1	14951525	14959820	2	8295
chr1	14959820	14980055	3	20235
chr1	14980055	14980448	2	393
chr1	14980448	15003543	1	23095
chr1	15076962	15108984	1	32022
chr1	15170442	15171234	1	792
chr1	15171234	15171916	2	682
chr1	15171916	15174767	3	2851
chr1	15174767	15185581	4	10814
chr1	15185581	15207151	3	21570
chr1	15207151	15208071	2	920
chr1	15208071	15209909	1	1838
chr1	15374008	15392433	1	18425
chr1	15441550	15444986	1	3436
chr1	15444986	15445710	2	724
chr1	15445710	15449912	3	4202
chr1	15449912	15453198	4	3286
chr1	15453198	15461112	5	7914
chr1	15461112	15466310	4	5198
chr1	15466310	15467203	3	893
chr1	15467203	15471782	2	4579
chr1	15471782	15482818	1	11036
chr1	16011601	16017798	1	6197
chr1	16017798	16021899	2	4101
chr1	16021899	16073507	3	51608
chr1	16073507	16074145	2	638
chr1	16074145	16087378	1	13233
chr1	16087378	16089660	2	2282
chr1	16089660	16092236	3	2576
chr1	16092236	16111348	4	19112
chr1	16111348	16113553	3	2205
chr1	16113553	16117419	2	3866
chr1	16117419	16118549	1	1130
chr1	16405364	16415239	1	9875
chr1	16415239	16426275	2	11036
chr1	16426275	16428706	1	2431
chr1	16505021	16509593	1	4572
chr1	16509593	16512508	2	2915
chr1	16512508	16513531	3	1023
chr1	16513531	16515574	4	2043
chr1	16515574	16535643	5	20069
chr1	16535643	16545253	4	9610
chr1	16545253	16545429	3	176
chr1	16545429	16546568	2	1139
chr1	16546568	16549073	1	2505
chr1	16686126	16687463	1	1337
chr1	16687463	16725199	2	37736
chr1	16725199	16728036	3	2837
chr1	16728036	16759200	6	31164
chr1	16759200	16796976	5	37776
chr1	16796976	16876172	6	79196
chr1	16876172	16876364	5	192
chr1	16876364	16880963	4	4599
chr1	16880963	16884543	3	3580
chr1	16884543	16887115	2	2572
chr1	16887115	16889369	1	2254
chr1	17059474	17059722	1	248
chr1	17059722	17060661	2	939
chr1	17060661	17063238	3	2577
chr1	17063238	17077478	4	14240
chr1	17077478	17079270	5	1792
chr1	17079270	17104723	6	25453
chr1	17104723	17109242	5	4519
chr1	17109242	17116330	4	7088
chr1	17116330	17133545	5	17215
chr1	17133545	17133830	6	285
chr1	17133830	17133970	7	140
chr1	17133970	17148762	8	14792
chr1	17148762	17163903	9	15141
chr1	17163903	17170563	8	6660
chr1	17170563	17171741	7	1178
chr1	17171741	17180466	6	8725
chr1	17180466	17191479	5	11013
chr1	17191479	17204849	4	13370
chr1	17204849	17216044	5	11195
chr1	17216044	17245894	6	29850
chr1	17245894	17249143	7	3249
chr1	17249143	17256780	8	7637
chr1	17256780	17258138	9	1358
chr1	17258138	17289217	10	31079
chr1	17289217	17313441	11	24224
chr1	17313441	17319579	10	6138
chr1	17319579	17366500	9	46921
chr1	17366500	17383459	10	16959
chr1	17383459	17391494	9	8035
chr1	17391494	17394509	8	3015
chr1	17394509	17397243	7	2734
chr1	17397243	17397483	6	240
chr1	17397483	17398235	5	752
chr1	17398235	17399712	4	1477
chr1	17399712	17400719	3	1007
chr1	17400719	17400971	2	252
chr1	17400971	17401379	1	408
chr1	17449559	17478044	1	28485
chr1	17541187	17541406	1	219
chr1	17541406	17541860	2	454
chr1	17541860	17549654	3	7794
chr1	17549654	17562481	4	12827
chr1	17562481	17562568	3	87
chr1	17562568	17562669	4	101
chr1	17562669	17566139	3	3470
chr1	17566139	17577843	2	11704
chr1	17577843	17624761	1	46918
chr1	17682424	17699806	1	17382
chr1	17699806	17700508	2	702
chr1	17700508	17701012	3	504
chr1	17701012	17701306	4	294
chr1	17701306	17707059	5	5753
chr1	17707059	17708086	6	1027
chr1	17708086	17716549	7	8463
chr1	17716549	17717986	8	1437
chr1	17717986	17726626	9	8640
chr1	17726626	17740934	10	14308
chr1	17740934	17765404	11	24470
chr1	17765404	17777457	12	12053
chr1	17777457	17832729	11	55272
chr1	17832729	17876070	12	43341
chr1	17876070	17907377	11	31307
chr1	17907377	17926824	10	19447
chr1	17926824	17962060	11	35236
chr1	17962060	18067201	12	105141
chr1	18067201	18098602	11	31401
chr1	18098602	18100366	10	1764
chr1	18100366	18100760	9	394
chr1	18100760	18118334	10	17574
chr1	18118334	18122096	11	3762
chr1	18122096	18316927	12	194831
chr1	18316927	18368536	11	51609
chr1	18368536	18377965	12	9429
chr1	18377965	18401227	11	23262
chr1	18401227	18417231	10	16004
chr1	18417231	18475450	9	58219
chr1	18475450	18491938	8	16488
chr1	18491938	18493718	9	1780
chr1	18493718	18577266	10	83548
chr1	18577266	18590524	11	13258
chr1	18590524	18614464	12	23940
chr1	18614464	18624211	11	9747
chr1	18624211	18625404	10	1193
chr1	18625404	18631013	9	5609
chr1	18631013	18636752	8	5739
chr1	18636752	18644531	7	7779
chr1	18644531	18653978	6	9447
chr1	18653978	18654414	7	436
chr1	18654414	18658249	8	3835
chr1	18658249	18668005	9	9756
chr1	18668005	18679454	10	11449
chr1	18679454	18684312	11	4858
chr1	18684312	18861227	12	176915
chr1	18861227	18864123	11	2896
chr1	18864123	18864419	10	296
chr1	18864419	18864917	9	498
chr1	18864917	18865173	8	256
chr1	18865173	18865271	7	98
chr1	18865271	18866518	6	1247
chr1	18866518	18867019	5	501
chr1	18867019	18867455	4	436
chr1	18867455	18867989	3	534
chr1	18867989	18869197	2	1208
chr1	18869197	18871861	1	2664
chr1	18946479	18949697	1	3218
chr1	18949697	18950236	2	539
chr1	18950236	18965372	3	15136
chr1	18965372	18968187	2	2815
chr1	18968187	18969780	1	1593
chr1	18969780	18989131	2	19351
chr1	18989131	18989917	1	786
chr1	19032820	19066252	1	33432
chr1	19431310	19431609	1	299
chr1	19431609	19446012	2	14403
chr1	19446012	19446342	1	330
chr1	19835013	19835830	1	817
chr1	19835830	19846606	2	10776
chr1	19846606	19851366	3	4760
chr1	19851366	19860662	4	9296
chr1	19860662	19870292	3	9630
chr1	19870292	19871703	2	1411
chr1	19932912	19943754	1	10842
chr1	19943754	19946142	2	2388
chr1	19946142	19946458	3	316
chr1	19946458	19949938	4	3480
chr1	19949938	19950410	5	472
chr1	19950410	19973227	6	22817
chr1	19973227	19979227	5	6000
chr1	19979227	19994176	6	14949
chr1	19994176	20001101	7	6925
chr1	20001101	20034124	8	33023
chr1	20034124	20050494	7	16370
chr1	20050494	20051778	6	1284
chr1	20051778	20060517	5	8739
chr1	20060517	20087070	4	26553
chr1	20087070	20088338	3	1268
chr1	20088338	20094606	2	6268
chr1	20094606	20099523	3	4917
chr1	20099523	20121891	2	22368
chr1	20121891	20144253	1	22362
chr1	20144679	20169474	1	24795
chr1	20169474	20171574	2	2100
chr1	20171574	20182252	3	10678
chr1	20182252	20192430	4	10178
chr1	20192430	20221746	3	29316
chr1	20221746	20233432	4	11686
chr1	20233432	20251920	3	18488
chr1	20251920	20260038	4	8118
chr1	20260038	20264237	5	4199
chr1	20264237	20265545	6	1308
chr1	20265545	20267858	7	2313
chr1	20267858	20279850	8	11992
chr1	20279850	20292753	9	12903
chr1	20292753	20313036	8	20283
chr1	20313036	20338313	9	25277
chr1	20338313	20357908	8	19595
chr1	20357908	20381639	9	23731
chr1	20381639	20438625	10	56986
chr1	20438625	20440293	9	1668
chr1	20440293	20446923	8	6630
chr1	20446923	20469812	7	22889
chr1	20469812	20475519	6	5707
chr1	20475519	20476523	5	1004
chr1	20476523	20476535	4	12
chr1	20476535	20477345	3	810
chr1	20477345	20487442	2	10097
chr1	20487442	20490295	1	2853
chr1	20516012	20517952	1	1940
chr1	20517952	20517974	2	22
chr1	20517974	20518270	3	296
chr1	20518270	20519518	4	1248
chr1	20519518	20520302	5	784
chr1	20520302	20520916	6	614
chr1	20520916	20521902	7	986
chr1	20521902	20524882	8	2980
chr1	20524882	20525987	9	1105
chr1	20525987	20530096	10	4109
chr1	20530096	20530181	11	85
chr1	20530181	20547339	12	17158
chr1	20547339	20559797	11	12458
chr1	20559797	20560651	10	854
chr1	20560651	20567052	9	6401
chr1	20567052	20567289	8	237
chr1	20567289	20573418	7	6129
chr1	20573418	20575331	6	1913
chr1	20575331	20576601	5	1270
chr1	20576601	20580208	4	3607
chr1	20580208	20594080	3	13872
chr1	20594080	20599075	4	4995
chr1	20599075	20610775	3	11700
chr1	20610775	20616564	2	5789
chr1	20616564	20618512	1	1948
chr1	20669828	20671772	1	1944
chr1	20671772	20671816	2	44
chr1	20671816	20677459	3	5643
chr1	20677459	20691739	4	14280
chr1	20691739	20692644	3	905
chr1	20692644	20709256	4	16612
chr1	20709256	20714359	3	5103
chr1	20714359	20719839	2	5480
chr1	20719839	20724884	1	5045
chr1	21375540	21378014	1	2474
chr1	21378014	21404158	2	26144
chr1	21404158	21404795	3	637
chr1	21404795	21429486	4	24691
chr1	21429486	21432504	3	3018
chr1	21432504	21440333	2	7829
chr1	21440333	21497530	1	57197
chr1	21497530	21505549	2	8019
chr1	21505549	21531204	3	25655
chr1	21531204	21532180	4	976
chr1	21532180	21552627	5	20447
chr1	21552627	21555569	4	2942
chr1	21555569	21565397	3	9828
chr1	21565397	21566755	2	1358
chr1	21566755	21568621	1	1866
chr1	21644736	21664801	1	20065
chr1	21885220	21903292	1	18072
chr1	21903292	21904958	2	1666
chr1	21904958	21908782	3	3824
chr1	21908782	21925937	4	17155
chr1	21925937	21928492	3	2555
chr1	21928492	21930719	2	2227
chr1	21930719	21932263	1	1544
chr1	22129053	22129214	1	161
chr1	22129214	22133848	2	4634
chr1	22133848	22137274	3	3426
chr1	22137274	22151687	4	14413
chr1	22151687	22155476	3	3789
chr1	22155476	22156832	2	1356
chr1	22156832	22172166	1	15334
chr1	22172166	22173543	2	1377
chr1	22173543	22182586	3	9043
chr1	22182586	22193582	4	10996
chr1	22193582	22195263	5	1681
chr1	22195263	22218065	6	22802
chr1	22218065	22225877	7	7812
chr1	22225877	22242181	8	16304
chr1	22242181	22244943	9	2762
chr1	22244943	22244993	8	50
chr1	22244993	22261417	7	16424
chr1	22261417	22265847	6	4430
chr1	22265847	22266697	5	850
chr1	22266697	22274676	4	7979
chr1	22274676	22276149	5	1473
chr1	22276149	22285222	6	9073
chr1	22285222	22289494	7	4272
chr1	22289494	22331543	8	42049
chr1	22331543	22331723	7	180
chr1	22331723	22338360	8	6637
chr1	22338360	22351508	9	13148
chr1	22351508	22353745	10	2237
chr1	22353745	22410806	11	57061
chr1	22410806	22411149	10	343
chr1	22411149	22412871	9	1722
chr1	22412871	22419259	8	6388
chr1	22419259	22420389	7	1130
chr1	22420389	22421021	6	632
chr1	22421021	22427683	5	6662
