Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
regulation of cytoskeleton organization(GO:0051493)	16990, 1882, 516, 74	1.295	0.105230505029	0.425873533076	516
positive regulation of filopodium assembly(GO:0051491)	16990, 474, 30, 4	4.779	0.0444808414157	0.268885897919	30
regulation of granulocyte differentiation(GO:0030852)	16990, 716, 15, 1	1.582	0.6139224551	0.917504879449	15
prostate gland development(GO:0030850)	16990, 59, 11, 1	26.179	0.100352539783	0.415965460032	11
granulocyte differentiation(GO:0030851)	16990, 716, 18, 1	1.318	0.680318414494	0.947294731942	18
regulation of epithelial cell differentiation(GO:0030856)	16990, 1958, 139, 34	2.122	0.000195302974836	0.00647867109627	139
negative regulation of epithelial cell differentiation(GO:0030857)	16990, 1944, 39, 10	2.241	0.0536401179937	0.297520474342	39
epithelial cell differentiation(GO:0030855)	16990, 1495, 314, 73	2.642	2.27046631725e-13	8.40072537384e-11	314
regulation of protein sumoylation(GO:0033233)	16990, 738, 21, 1	1.096	0.74516491547	0.977698647958	21
positive regulation of epithelial cell differentiation(GO:0030858)	16990, 180, 58, 3	4.882	0.113904180137	0.443267885485	58
polarized epithelial cell differentiation(GO:0030859)	16990, 280, 19, 4	12.774	0.00126486919967	0.0254561541858	19
protoporphyrinogen IX metabolic process(GO:0046501)	16990, 1480, 11, 3	3.131	0.145978946663	0.489716473257	11
S-adenosylmethionine metabolic process(GO:0046500)	16990, 1537, 15, 1	0.737	0.776524447661	0.984920738314	15
glycerolipid catabolic process(GO:0046503)	16990, 1020, 51, 6	1.96	0.283618045134	0.663522761232	51
regulation of trophoblast cell migration(GO:1901163)	16990, 549, 11, 1	2.813	0.43131334806	0.801274830215	11
base-excision repair(GO:0006284)	16990, 1025, 33, 2	1.005	0.80474266874	0.993793972278	33
pH reduction(GO:0045851)	16990, 1570, 34, 5	1.591	0.456860464338	0.820102023736	34
axon regeneration(GO:0031103)	16990, 52, 21, 2	31.117	0.00975194414504	0.105884540266	21
neuron projection regeneration(GO:0031102)	16990, 52, 27, 2	24.202	0.0159670408257	0.145071247847	27
animal organ regeneration(GO:0031100)	16990, 59, 76, 1	3.789	0.578706822772	0.893031702769	76
social behavior(GO:0035176)	16990, 3, 54, 1	104.877	0.0554863531657	0.303974212673	54
regulation of protein kinase activity(GO:0045859)	16990, 315, 763, 27	1.909	0.0146881070254	0.137987880453	763
microtubule polymerization or depolymerization(GO:0031109)	16990, 282, 31, 2	3.887	0.266862618857	0.645029747086	31
nucleotide-excision repair(GO:0006289)	16990, 1335, 103, 8	0.988	0.886453252946	1.0	103
defense response to fungus(GO:0050832)	16990, 799, 34, 5	3.127	0.0882954709351	0.392878089915	34
defense response to Gram-positive bacterium(GO:0050830)	16990, 14, 85, 1	14.277	0.278819165295	0.658703046244	85
regulation of cell-substrate adhesion(GO:0010810)	16990, 1968, 205, 40	1.685	0.00714258100573	0.0867571076706	205
response to histamine(GO:0034776)	16990, 0, 11, 0	0.0	1.0	1.0	11
regulation of acute inflammatory response(GO:0002673)	16990, 492, 43, 1	0.803	0.89213088344	1.0	43
amino sugar catabolic process(GO:0046348)	16990, 763, 12, 1	1.856	0.557266531837	0.883776602587	12
negative regulation of inclusion body assembly(GO:0090084)	16990, 747, 11, 1	2.068	0.516022133025	0.863074343483	11
positive regulation of acute inflammatory response(GO:0002675)	16990, 1958, 29, 1	0.299	0.97147393212	1.0	29
regulation of cold-induced thermogenesis(GO:0120161)	16990, 849, 143, 14	1.959	0.0864914904041	0.390405704192	143
cellular modified amino acid metabolic process(GO:0006575)	16990, 240, 187, 2	0.757	0.971848263333	1.0	187
ruffle assembly(GO:0097178)	16990, 1563, 13, 3	2.508	0.230368727772	0.608674895398	13
amino-acid betaine metabolic process(GO:0006577)	16990, 240, 18, 1	3.933	0.410703207614	0.781440834107	18
positive regulation of axonogenesis(GO:0050772)	16990, 373, 83, 13	7.134	4.51143998071e-07	3.55738136184e-05	83
positive regulation of telomere maintenance via telomere lengthening(GO:1904358)	16990, 1189, 37, 2	0.772	0.888588188349	1.0	37
regulation of gene expression, epigenetic(GO:0040029)	16990, 37, 191, 2	4.808	0.315629031204	0.694817226585	191
regulation of nuclear division(GO:0051783)	16990, 19, 205, 1	4.362	0.631001580479	0.92527392929	205
negative regulation of cell division(GO:0051782)	16990, 1614, 16, 2	1.316	0.603905326797	0.910345264486	16
positive regulation of cell division(GO:0051781)	16990, 1553, 86, 12	1.527	0.337858015418	0.713921371786	86
dicarboxylic acid catabolic process(GO:0043649)	16990, 1651, 18, 3	1.715	0.439389795248	0.805925851635	18
mRNA splice site selection(GO:0006376)	16990, 0, 30, 0	0.0	1.0	1.0	30
positive regulation of nuclear division(GO:0051785)	16990, 87, 64, 1	3.051	0.619806105709	0.921263466711	64
negative regulation of nuclear division(GO:0051784)	16990, 200, 48, 1	1.77	0.732946916522	0.972276521917	48
positive regulation of leukocyte adhesion to vascular endothelial cell(GO:1904996)	16990, 1958, 12, 1	0.723	0.770149136989	0.984763587519	12
regulation of leukocyte adhesion to vascular endothelial cell(GO:1904994)	16990, 452, 17, 1	2.211	0.548311832112	0.881072688901	17
mRNA cleavage(GO:0006379)	16990, 1989, 25, 1	0.342	0.955629955088	1.0	25
positive regulation of supramolecular fiber organization(GO:1902905)	16990, 1882, 189, 34	1.624	0.0268700508788	0.204384293922	189
regulation of transcription initiation from RNA polymerase II promoter(GO:0060260)	16990, 1189, 27, 4	2.117	0.299323092799	0.679117515806	27
positive regulation of transcription initiation from RNA polymerase II promoter(GO:0060261)	16990, 1189, 19, 3	2.256	0.314352393834	0.69327602675	19
regulation of cell aging(GO:0090342)	16990, 715, 46, 3	1.55	0.614324984309	0.917504879449	46
positive regulation of cell aging(GO:0090343)	16990, 0, 13, 0	0.0	1.0	1.0	13
negative regulation of cell aging(GO:0090344)	16990, 1539, 24, 3	1.38	0.596201005694	0.906074830138	24
mitotic sister chromatid cohesion(GO:0007064)	16990, 1328, 12, 1	1.066	0.657918140131	0.938660410875	12
embryonic digestive tract development(GO:0048566)	16990, 1958, 17, 6	3.063	0.0378583350307	0.245136431142	17
embryonic organ development(GO:0048568)	16990, 214, 127, 7	4.376	0.0106356939766	0.11218791234	127
thyroid hormone generation(GO:0006590)	16990, 137, 11, 1	11.274	0.182160778067	0.543207279913	11
antibiotic catabolic process(GO:0017001)	16990, 985, 53, 4	1.302	0.689291144357	0.953530540914	53
polyamine biosynthetic process(GO:0006596)	16990, 0, 13, 0	0.0	1.0	1.0	13
embryonic camera-type eye development(GO:0031076)	16990, 591, 12, 1	2.396	0.479868302744	0.840018820883	12
cytochrome complex assembly(GO:0017004)	16990, 1524, 34, 2	0.656	0.917789143636	1.0	34
polyamine metabolic process(GO:0006595)	16990, 0, 18, 0	0.0	1.0	1.0	18
regulation of glucose metabolic process(GO:0010906)	16990, 33, 111, 1	4.638	0.560608984174	0.884964912086	111
positive regulation of glucose metabolic process(GO:0010907)	16990, 760, 40, 2	1.118	0.790312235126	0.989433068963	40
histone H3-K9 modification(GO:0061647)	16990, 1804, 15, 1	0.628	0.817353770553	0.998922602885	15
regulation of small molecule metabolic process(GO:0062012)	16990, 33, 351, 3	4.4	0.20794466794	0.578710657638	351
uterus development(GO:0060065)	16990, 401, 16, 2	5.296	0.14595962668	0.489716473257	16
phosphate ion transmembrane transport(GO:0035435)	16990, 1572, 15, 2	1.441	0.557927612944	0.883776602587	15
determination of adult lifespan(GO:0008340)	16990, 852, 17, 4	4.692	0.0356722755243	0.23634110919	17
tetrahydrofolate metabolic process(GO:0046653)	16990, 0, 19, 0	0.0	1.0	1.0	19
regulation of response to oxidative stress(GO:1902882)	16990, 1388, 81, 11	1.662	0.262973952429	0.640787817486	81
folic acid metabolic process(GO:0046655)	16990, 0, 20, 0	0.0	1.0	1.0	20
monocarboxylic acid biosynthetic process(GO:0072330)	16990, 1631, 205, 28	1.423	0.215779775236	0.58753394135	205
peptide hormone secretion(GO:0030072)	16990, 26, 59, 1	11.076	0.301728112889	0.680728059567	59
intrinsic apoptotic signaling pathway by p53 class mediator(GO:0072332)	16990, 172, 49, 3	6.048	0.0692026841653	0.349049456667	49
superoxide anion generation(GO:0042554)	16990, 0, 14, 0	0.0	1.0	1.0	14
positive regulation of histone deacetylation(GO:0031065)	16990, 1418, 17, 4	2.819	0.138625651753	0.47901536274	17
neuron maturation(GO:0042551)	16990, 1475, 24, 3	1.44	0.575754937843	0.892628419308	24
imidazole-containing compound metabolic process(GO:0052803)	16990, 0, 12, 0	0.0	1.0	1.0	12
pteridine-containing compound metabolic process(GO:0042558)	16990, 0, 35, 0	0.0	1.0	1.0	35
pteridine-containing compound biosynthetic process(GO:0042559)	16990, 0, 15, 0	0.0	1.0	1.0	15
pigment granule localization(GO:0051875)	16990, 1372, 24, 4	2.064	0.304451244341	0.683027278582	24
snoRNA processing(GO:0043144)	16990, 1428, 13, 1	0.915	0.70643337225	0.960685473712	13
synapse maturation(GO:0060074)	16990, 23, 12, 1	61.558	0.0514653135122	0.293609579212	12
energy reserve metabolic process(GO:0006112)	16990, 1604, 62, 5	0.854	0.91504886604	1.0	62
regulation of T cell mediated immunity(GO:0002709)	16990, 1927, 67, 7	0.921	0.895056543012	1.0	67
regulation of glycolytic process(GO:0006110)	16990, 1945, 43, 5	1.016	0.808083651631	0.99510557203	43
regulation of gluconeogenesis(GO:0006111)	16990, 1295, 45, 4	1.166	0.743176970375	0.976926256888	45
negative regulation of regulated secretory pathway(GO:1903306)	16990, 441, 23, 1	1.675	0.658549479352	0.938833134465	23
positive regulation of regulated secretory pathway(GO:1903307)	16990, 1647, 51, 2	0.405	0.98803601222	1.0	51
regulation of regulated secretory pathway(GO:1903305)	16990, 650, 161, 10	1.624	0.379914007844	0.749571504814	161
positive regulation of lipase activity(GO:0060193)	16990, 391, 69, 4	2.519	0.281652863767	0.661133830201	69
stress fiber assembly(GO:0043149)	16990, 1618, 16, 1	0.656	0.810342289413	0.995623279761	16
skeletal system morphogenesis(GO:0048705)	16990, 1837, 110, 26	2.186	0.00100727236986	0.0213435246652	110
locomotory behavior(GO:0007626)	16990, 1638, 185, 41	2.299	5.45718565045e-06	0.000282247989018	185
grooming behavior(GO:0007625)	16990, 0, 14, 0	0.0	1.0	1.0	14
embryonic skeletal system development(GO:0048706)	16990, 1181, 36, 9	3.597	0.00405338773973	0.05838490616	36
circadian rhythm(GO:0007623)	16990, 1077, 135, 16	1.87	0.0799429977536	0.376583563438	135
lipid metabolic process(GO:0006629)	16990, 958, 1218, 67	0.976	0.978426406749	1.0	1218
response to amino acid(GO:0043200)	16990, 1036, 110, 11	1.64	0.304736974716	0.683349579666	110
cell-cell adhesion(GO:0098609)	16990, 1566, 488, 84	1.868	3.55347195697e-07	2.89698307001e-05	488
protein targeting to mitochondrion(GO:0006626)	16990, 1376, 30, 2	0.823	0.85911446684	1.0	30
oligodendrocyte differentiation(GO:0048709)	16990, 223, 27, 5	14.109	0.00017958008587	0.00612610080168	27
astrocyte differentiation(GO:0048708)	16990, 1535, 16, 4	2.767	0.138746917709	0.479090218364	16
protein targeting to lysosome(GO:0006622)	16990, 0, 20, 0	0.0	1.0	1.0	20
protein targeting to vacuole(GO:0006623)	16990, 1311, 33, 1	0.393	0.959758014749	1.0	33
tube closure(GO:0060606)	16990, 7, 79, 1	30.723	0.159708247322	0.513843926166	79
deoxyribonucleotide biosynthetic process(GO:0009263)	16990, 1457, 15, 6	4.664	0.00512066314774	0.0676659058808	15
deoxyribonucleotide metabolic process(GO:0009262)	16990, 1457, 35, 8	2.665	0.0429988768114	0.264143802634	35
branch elongation of an epithelium(GO:0060602)	16990, 799, 13, 4	6.543	0.0109603945384	0.115108073646	13
transcription preinitiation complex assembly(GO:0070897)	16990, 1879, 29, 4	1.247	0.647794099561	0.932596048296	29
cellular response to starvation(GO:0009267)	16990, 1418, 150, 22	1.757	0.0494538522916	0.287286267539	150
response to temperature stimulus(GO:0009266)	16990, 6, 170, 1	16.657	0.29238299456	0.672900575996	170
response to pH(GO:0009268)	16990, 0, 39, 0	0.0	1.0	1.0	39
response to antimetabolite(GO:0097329)	16990, 1517, 12, 2	1.867	0.426103775768	0.79532757526	12
vasoconstriction(GO:0042310)	16990, 1287, 30, 7	3.08	0.0315785144439	0.219815708358	30
alpha-beta T cell differentiation involved in immune response(GO:0002293)	16990, 716, 18, 2	2.637	0.352904973856	0.726225481999	18
T cell differentiation involved in immune response(GO:0002292)	16990, 716, 22, 2	2.157	0.453767189063	0.817460741345	22
positive regulation of killing of cells of other organism(GO:0051712)	16990, 14, 12, 1	101.131	0.035264049518	0.236116968186	12
viral budding via host ESCRT complex(GO:0039702)	16990, 1331, 21, 1	0.608	0.860518325174	1.0	21
ectodermal placode formation(GO:0060788)	16990, 673, 11, 1	2.295	0.49022667005	0.848297421655	11
axonal transport(GO:0098930)	16990, 1945, 53, 12	1.978	0.0773716444486	0.37092613021	53
positive regulation of mesenchymal cell proliferation(GO:0002053)	16990, 1515, 26, 7	3.019	0.0314602816399	0.219815708358	26
positive regulation of neuroblast proliferation(GO:0002052)	16990, 505, 23, 5	7.314	0.00272626057377	0.0434215674166	23
dendrite morphogenesis(GO:0048813)	16990, 1035, 40, 7	2.873	0.0509861803521	0.29195658035	40
proteoglycan metabolic process(GO:0006029)	16990, 416, 58, 7	4.929	0.00405212470282	0.05838490616	58
regulation of dendrite morphogenesis(GO:0048814)	16990, 689, 87, 8	2.267	0.131997156331	0.467874960908	87
positive regulation of stress fiber assembly(GO:0051496)	16990, 1553, 51, 8	1.716	0.297346564232	0.677967046207	51
regulation of lipase activity(GO:0060191)	16990, 1036, 94, 9	1.57	0.407642528536	0.778388472513	94
glutathione catabolic process(GO:0006751)	16990, 0, 11, 0	0.0	1.0	1.0	11
inositol metabolic process(GO:0006020)	16990, 1567, 12, 1	0.904	0.700494661161	0.957853952259	12
aminoglycan catabolic process(GO:0006026)	16990, 56, 66, 2	9.194	0.106478490688	0.427474774535	66
negative regulation of double-strand break repair via homologous recombination(GO:2000042)	16990, 0, 18, 0	0.0	1.0	1.0	18
regulation of cell cycle arrest(GO:0071156)	16990, 376, 106, 3	1.279	0.796763978726	0.990293213869	106
positive regulation of actin nucleation(GO:0051127)	16990, 859, 16, 2	2.472	0.358131669081	0.729029964595	16
signal release from synapse(GO:0099643)	16990, 579, 69, 6	2.552	0.145830469074	0.489716473257	69
axo-dendritic protein transport(GO:0099640)	16990, 1350, 13, 1	0.968	0.693152540603	0.95585172907	13
regulation of cyclin-dependent protein kinase activity(GO:1904029)	16990, 19, 100, 1	8.942	0.385932480851	0.757378715991	100
RNA polymerase II preinitiation complex assembly(GO:0051123)	16990, 1879, 13, 1	0.696	0.783223821902	0.987931117751	13
regulation of DNA damage checkpoint(GO:2000001)	16990, 980, 17, 1	1.02	0.743593482834	0.976969312328	17
neurotransmitter receptor localization to postsynaptic specialization membrane(GO:0099645)	16990, 0, 12, 0	0.0	1.0	1.0	12
negative regulation of fibroblast proliferation(GO:0048147)	16990, 1382, 29, 1	0.424	0.942024028668	1.0	29
dicarboxylic acid metabolic process(GO:0043648)	16990, 1747, 104, 14	1.309	0.530277289947	0.870269516613	104
regulation of fibroblast proliferation(GO:0048145)	16990, 157, 83, 2	2.608	0.510089551834	0.859156202017	83
astrocyte activation(GO:0048143)	16990, 1958, 12, 4	2.892	0.11124755602	0.438232941561	12
regulation of muscle organ development(GO:0048634)	16990, 1575, 133, 28	2.271	0.000366646124067	0.0101354474526	133
positive regulation of ATP biosynthetic process(GO:2001171)	16990, 1945, 29, 3	0.904	0.82754608589	1.0	29
regulation of synapse maturation(GO:0090128)	16990, 311, 13, 1	4.202	0.367825226647	0.738310205388	13
inner ear receptor cell development(GO:0060119)	16990, 1638, 12, 2	1.729	0.458350523692	0.821716742064	12
negative regulation of ERAD pathway(GO:1904293)	16990, 1932, 13, 1	0.676	0.792247976739	0.989795524185	13
glial cell differentiation(GO:0010001)	16990, 278, 71, 8	6.886	0.000228935707735	0.00710439196261	71
macromolecule deacylation(GO:0098732)	16990, 1933, 73, 8	0.963	0.878171016691	1.0	73
response to purine-containing compound(GO:0014074)	16990, 979, 150, 13	1.504	0.37972581302	0.749571504814	150
intracellular transport of virus(GO:0075733)	16990, 0, 14, 0	0.0	1.0	1.0	14
regulation of retinoic acid receptor signaling pathway(GO:0048385)	16990, 1665, 16, 4	2.551	0.167073004487	0.526463759884	16
retinoic acid receptor signaling pathway(GO:0048384)	16990, 1886, 16, 6	3.378	0.023137656915	0.185486882935	16
response to organic cyclic compound(GO:0014070)	16990, 1896, 736, 109	1.327	0.0161826037216	0.145946056179	736
regulation of cell fate commitment(GO:0010453)	16990, 10, 27, 1	62.926	0.0671256192798	0.344582954894	27
phospholipid catabolic process(GO:0009395)	16990, 1552, 33, 2	0.663	0.912407859341	1.0	33
positive regulation of heat generation(GO:0031652)	16990, 1958, 11, 1	0.789	0.740166664749	0.97620007059	11
negative regulation of neuron death(GO:1901215)	16990, 403, 196, 17	3.657	7.35755556665e-05	0.00276483142778	196
positive regulation of interferon-gamma biosynthetic process(GO:0045078)	16990, 475, 12, 1	2.981	0.423271647838	0.792193239728	12
nuclear-transcribed mRNA poly(A) tail shortening(GO:0000289)	16990, 1853, 22, 3	1.25	0.639900554605	0.929043666662	22
regulation of macroautophagy(GO:0016241)	16990, 1623, 162, 23	1.486	0.19756750781	0.5663387677	162
endodermal cell differentiation(GO:0035987)	16990, 1616, 28, 11	4.13	0.000196756146301	0.00648217166924	28
regulation of interleukin-2 biosynthetic process(GO:0045076)	16990, 364, 19, 1	2.457	0.536092925189	0.873070910413	19
glycosphingolipid biosynthetic process(GO:0006688)	16990, 18, 24, 1	39.329	0.093619571819	0.403030862512	24
nuclear division(GO:0000280)	16990, 19, 57, 1	15.688	0.23762039379	0.61713182835	57
negative regulation of viral genome replication(GO:0045071)	16990, 37, 53, 1	8.664	0.341782135812	0.717043838241	53
regulation of interferon-gamma biosynthetic process(GO:0045072)	16990, 1051, 16, 2	2.021	0.441955563833	0.807307649504	16
regulation of chemokine biosynthetic process(GO:0045073)	16990, 87, 13, 1	15.022	0.160490564941	0.514345381471	13
regulation of cellular amine metabolic process(GO:0033238)	16990, 513, 37, 1	0.895	0.861029375095	1.0	37
amino acid import across plasma membrane(GO:0089718)	16990, 1388, 14, 3	2.623	0.222269200839	0.595939161669	14
microtubule cytoskeleton organization involved in mitosis(GO:1902850)	16990, 180, 92, 1	1.026	0.905963754312	1.0	92
regulation of chromosome separation(GO:1905818)	16990, 1753, 62, 2	0.313	0.997109653601	1.0	62
negative regulation of chromosome separation(GO:1905819)	16990, 0, 28, 0	0.0	1.0	1.0	28
positive regulation of cell population proliferation(GO:0008284)	16990, 1570, 905, 111	1.327	0.0162027430353	0.145946056179	905
muscle cell development(GO:0055001)	16990, 1434, 92, 16	2.061	0.0287205885934	0.209351166793	92
ceramide transport(GO:0035627)	16990, 571, 12, 1	2.48	0.470253188521	0.830736025015	12
cardiac myofibril assembly(GO:0055003)	16990, 120, 22, 2	12.871	0.0456064986787	0.273399035765	22
cardiac cell development(GO:0055006)	16990, 1356, 41, 6	1.834	0.314611865256	0.693530280422	41
cardiac muscle cell differentiation(GO:0055007)	16990, 603, 26, 3	3.251	0.193807105477	0.558545342927	26
cardiac muscle tissue morphogenesis(GO:0055008)	16990, 1886, 65, 12	1.663	0.214791288595	0.586348523349	65
barbed-end actin filament capping(GO:0051016)	16990, 98, 15, 1	11.558	0.203025207032	0.574208967266	15
cellular response to DNA damage stimulus(GO:0006974)	16990, 47, 732, 2	0.988	0.971642027762	1.0	732
regulation of hormone secretion(GO:0046883)	16990, 715, 265, 17	1.524	0.304194578006	0.682769911437	265
response to osmotic stress(GO:0006970)	16990, 1995, 73, 15	1.75	0.111067332588	0.438232941561	73
regulation of hormone biosynthetic process(GO:0046885)	16990, 383, 26, 2	3.412	0.294643425105	0.675149248559	26
hyperosmotic response(GO:0006972)	16990, 1832, 24, 8	3.091	0.0134660962068	0.132158309314	24
positive regulation of hormone secretion(GO:0046887)	16990, 1092, 129, 15	1.809	0.116672647361	0.447524269383	129
negative regulation of hormone secretion(GO:0046888)	16990, 700, 65, 4	1.494	0.620009330844	0.921263466711	65
positive regulation of lipid biosynthetic process(GO:0046889)	16990, 419, 76, 5	2.668	0.184590241231	0.545045463671	76
neuroblast proliferation(GO:0007405)	16990, 1638, 17, 4	2.441	0.188748021195	0.550896833705	17
nucleoside diphosphate metabolic process(GO:0009132)	16990, 1485, 78, 10	1.467	0.437623589925	0.804553444148	78
response to oxidative stress(GO:0006979)	16990, 43, 343, 2	2.304	0.682328780611	0.949304083149	343
temperature homeostasis(GO:0001659)	16990, 1450, 30, 4	1.562	0.504086801235	0.855560167233	30
cellular response to lipoprotein particle stimulus(GO:0071402)	16990, 1037, 25, 3	1.966	0.410352033417	0.781398370025	25
protein mono-ADP-ribosylation(GO:0140289)	16990, 0, 11, 0	0.0	1.0	1.0	11
cell adhesion mediated by integrin(GO:0033627)	16990, 285, 22, 1	2.71	0.527750165627	0.868792974207	22
pyrimidine-containing compound salvage(GO:0008655)	16990, 1168, 12, 3	3.637	0.119882669641	0.452749946033	12
primary amino compound metabolic process(GO:1901160)	16990, 956, 13, 1	1.367	0.626067314077	0.922542951224	13
negative regulation of lipid transport(GO:0032369)	16990, 1848, 26, 2	0.707	0.878466720911	1.0	26
activation of GTPase activity(GO:0090630)	16990, 1900, 94, 14	1.332	0.49101307983	0.848510509464	94
histone H4-K8 acetylation(GO:0043982)	16990, 1752, 16, 1	0.606	0.829625550735	1.0	16
postsynaptic specialization organization(GO:0099084)	16990, 1224, 13, 1	1.068	0.67169888948	0.94387135799	13
positive regulation of protein sumoylation(GO:0033235)	16990, 1909, 11, 2	1.618	0.486156076325	0.845718165325	11
regulation of dendritic spine maintenance(GO:1902950)	16990, 39, 11, 1	39.604	0.0728703560528	0.360603305159	11
integrin-mediated signaling pathway(GO:0007229)	16990, 1861, 89, 15	1.539	0.254793626676	0.632744175987	89
receptor-mediated endocytosis(GO:0006898)	16990, 1240, 212, 20	1.293	0.523717033822	0.866556220393	212
regulation of corticosteroid hormone secretion(GO:2000846)	16990, 81, 16, 3	39.329	0.00032472043624	0.00918767822536	16
myelin assembly(GO:0032288)	16990, 372, 12, 2	7.612	0.0792468924879	0.374829065019	12
attachment of spindle microtubules to kinetochore(GO:0008608)	16990, 1328, 20, 1	0.64	0.845206662874	1.0	20
regulation of cell-cell adhesion(GO:0022407)	16990, 819, 385, 33	1.778	0.0128136273226	0.127605688244	385
molting cycle process(GO:0022404)	16990, 1198, 72, 23	4.53	6.17665554754e-09	9.00294338899e-07	72
positive regulation of NIK/NF-kappaB signaling(GO:1901224)	16990, 1475, 74, 8	1.245	0.668809861167	0.943191321463	74
negative regulation of NIK/NF-kappaB signaling(GO:1901223)	16990, 1855, 21, 4	1.745	0.38795018492	0.759813745177	21
regulation of NIK/NF-kappaB signaling(GO:1901222)	16990, 1475, 105, 10	1.097	0.804187395071	0.993761675731	105
regulation of rhodopsin mediated signaling pathway(GO:0022400)	16990, 1500, 24, 6	2.832	0.0652568948588	0.339456167117	24
regulation of dopamine secretion(GO:0014059)	16990, 1893, 40, 4	0.898	0.860725858865	1.0	40
myoblast differentiation(GO:0045445)	16990, 1821, 21, 4	1.777	0.375798048781	0.746374902432	21
fat cell differentiation(GO:0045444)	16990, 173, 105, 3	2.806	0.354784081749	0.727413228139	105
endothelial cell differentiation(GO:0045446)	16990, 414, 27, 3	4.56	0.104035889161	0.422645799718	27
asymmetric cell division(GO:0008356)	16990, 1829, 13, 3	2.144	0.299725144517	0.679117515806	13
regulation of cell division(GO:0051302)	16990, 1614, 164, 24	1.54	0.140219035283	0.481752542652	164
negative regulation of cell-cell adhesion(GO:0022408)	16990, 59, 166, 3	5.204	0.134057159095	0.472738222324	166
neuron projection extension(GO:1990138)	16990, 1817, 59, 17	2.694	0.000920205129767	0.0201190303372	59
negative regulation of small molecule metabolic process(GO:0062014)	16990, 21, 94, 1	8.607	0.389656059818	0.760960474106	94
response to estradiol(GO:0032355)	16990, 1473, 127, 16	1.453	0.343494107851	0.718529056464	127
response to follicle-stimulating hormone(GO:0032354)	16990, 1051, 16, 5	5.052	0.0103130612766	0.109957596023	16
positive regulation of hormone metabolic process(GO:0032352)	16990, 81, 15, 1	13.984	0.175092579284	0.536695523365	15
DNA replication-independent nucleosome organization(GO:0034724)	16990, 1988, 41, 4	0.834	0.893579864091	1.0	41
regulation of hormone metabolic process(GO:0032350)	16990, 81, 38, 2	11.04	0.0680314113226	0.346667177567	38
